guionistas,titulo,pais,votos,votacion,nota
,Billy's Balloon (C),Estados Unidos,1700.0,6.1,7
Guy Ritchie,Lock & Stock ,Reino Unido,61499.0,7.8,7
Rita Hsiao,Mulan ,Estados Unidos,85932.0,6.7,7
Chris Sanders,Mulan ,Estados Unidos,85932.0,6.7,7
Philip Lazebnik,Mulan ,Estados Unidos,85932.0,6.7,7
Raymond Singer,Mulan ,Estados Unidos,85932.0,6.7,7
Edward Neumeier,Starship Troopers: Las brigadas del espacio ,Estados Unidos,32012.0,6.0,7
Robert A. Heinlein,Starship Troopers: Las brigadas del espacio ,Estados Unidos,32012.0,6.0,7
Atsuhiro Tomioka,Pokémon (Serie de TV),Japón,29459.0,5.1,7
Hideki Sonoda,Pokémon (Serie de TV),Japón,29459.0,5.1,7
Yukiyoshi Ôhashi,Pokémon (Serie de TV),Japón,29459.0,5.1,7
Junki Takegami,Pokémon (Serie de TV),Japón,29459.0,5.1,7
Shinzo Fujita,Pokémon (Serie de TV),Japón,29459.0,5.1,7
Shoji Yonemura,Pokémon (Serie de TV),Japón,29459.0,5.1,7
Takeshi Shudo,Pokémon (Serie de TV),Japón,29459.0,5.1,7
None,Pokémon (Serie de TV),Japón,29459.0,5.1,7
None,Pokémon (Serie de TV),Japón,29459.0,5.1,7
Matt Damon,El indomable Will Hunting ,Estados Unidos,105140.0,7.5,7
Ben Affleck,El indomable Will Hunting ,Estados Unidos,105140.0,7.5,7
John Brancato,The Game ,Estados Unidos,80443.0,7.2,7
Michael Ferris,The Game ,Estados Unidos,80443.0,7.2,7
Paul Germain,La banda del patio (Serie de TV),Estados Unidos,15753.0,6.2,7
Joe Ansolabehere,La banda del patio (Serie de TV),Estados Unidos,15753.0,6.2,7
Phil Walsh,La banda del patio (Serie de TV),Estados Unidos,15753.0,6.2,7
Hayao Miyazaki,La princesa Mononoke ,Japón,69528.0,8.0,7
Andrew Niccol,Gattaca ,Estados Unidos,87366.0,7.3,7
Montxo Armendáriz,Secretos del corazón ,España,9369.0,6.9,7
William Goldman,Poder absoluto ,Estados Unidos,18700.0,6.8,7
David Baldacci,Poder absoluto ,Estados Unidos,18700.0,6.8,7
Karey Kirkpatrick,James y el melocotón gigante ,Estados Unidos,9581.0,6.4,7
Jonathan Roberts,James y el melocotón gigante ,Estados Unidos,9581.0,6.4,7
Steve Bloom,James y el melocotón gigante ,Estados Unidos,9581.0,6.4,7
Roald Dahl,James y el melocotón gigante ,Estados Unidos,9581.0,6.4,7
Joel Coen,Fargo ,Estados Unidos,99825.0,7.8,7
Ethan Coen,Fargo ,Estados Unidos,99825.0,7.8,7
Alejandro Amenábar,Tesis ,España,95573.0,7.7,7
Alejandro Amenábar,Tesis ,España,95573.0,7.7,7
Mateo Gil,Tesis ,España,95573.0,7.7,7
Robert Rodat,Volando libre ,Estados Unidos,3446.0,5.3,7
Vince McKewin,Volando libre ,Estados Unidos,3446.0,5.3,7
Richard Linklater,Antes de amanecer ,Estados Unidos,44060.0,7.4,7
Kim Krizan,Antes de amanecer ,Estados Unidos,44060.0,7.4,7
John Mattson,Liberad a Willy 2 ,Estados Unidos,6692.0,3.9,7
Corey Blechman,Liberad a Willy 2 ,Estados Unidos,6692.0,3.9,7
Karen Janszen,Liberad a Willy 2 ,Estados Unidos,6692.0,3.9,7
Keith Walker,Liberad a Willy 2 ,Estados Unidos,6692.0,3.9,7
Nicholas Pileggi,Casino ,Estados Unidos,78066.0,8.1,7
Martin Scorsese,Casino ,Estados Unidos,78066.0,8.1,7
Nicholas Pileggi,Casino ,Estados Unidos,78066.0,8.1,7
Carl Binder,Pocahontas ,Estados Unidos,85979.0,6.0,7
Susannah Grant,Pocahontas ,Estados Unidos,85979.0,6.0,7
Philip Lazebnik,Pocahontas ,Estados Unidos,85979.0,6.0,7
Mike Gabriel,Pocahontas ,Estados Unidos,85979.0,6.0,7
Álex de la Iglesia,El día de la bestia ,España,73617.0,7.1,7
Jorge Guerricaechevarría,El día de la bestia ,España,73617.0,7.1,7
Scott Alexander,Ed Wood ,Estados Unidos,45154.0,7.5,7
Larry Karaszewski,Ed Wood ,Estados Unidos,45154.0,7.5,7
Ed Wood,Ed Wood ,Estados Unidos,45154.0,7.5,7
Terry George,En el nombre del padre ,Irlanda,79148.0,8.2,7
Jim Sheridan,En el nombre del padre ,Irlanda,79148.0,8.2,7
Gerry Conlon,En el nombre del padre ,Irlanda,79148.0,8.2,7
Pedro Almodóvar,Kika ,España,11216.0,5.0,7
Ron Nyswaner,Philadelphia ,Estados Unidos,85490.0,7.4,7
Sheila Burnford,"De vuelta a casa, un viaje increíble ",Estados Unidos,1779.0,5.6,7
Caroline Thompson,"De vuelta a casa, un viaje increíble ",Estados Unidos,1779.0,5.6,7
Linda Woolverton,"De vuelta a casa, un viaje increíble ",Estados Unidos,1779.0,5.6,7
Sheila Burnford,"De vuelta a casa, un viaje increíble ",Estados Unidos,1779.0,5.6,7
Woody Allen,Misterioso asesinato en Manhattan ,Estados Unidos,45365.0,7.8,7
Marshall Brickman,Misterioso asesinato en Manhattan ,Estados Unidos,45365.0,7.8,7
Keith Walker,¡Liberad a Willy! ,Estados Unidos,17087.0,4.8,7
Corey Blechman,¡Liberad a Willy! ,Estados Unidos,17087.0,4.8,7
David Koepp,Atrapado por su pasado ,Estados Unidos,40198.0,7.9,7
Edwin Torres,Atrapado por su pasado ,Estados Unidos,40198.0,7.9,7
David Webb Peoples,Sin perdón ,Estados Unidos,94742.0,8.2,7
Christopher Crowe,El último mohicano ,Estados Unidos,70861.0,7.3,7
Michael Mann,El último mohicano ,Estados Unidos,70861.0,7.3,7
James Fenimore Cooper,El último mohicano ,Estados Unidos,70861.0,7.3,7
Aaron Sorkin,Algunos hombres buenos ,Estados Unidos,55415.0,6.8,7
Wesley Strick,El cabo del miedo ,Estados Unidos,57072.0,7.3,7
James R. Webb,El cabo del miedo ,Estados Unidos,57072.0,7.3,7
John D. MacDonald,El cabo del miedo ,Estados Unidos,57072.0,7.3,7
Don Jakoby,Aracnofobia ,Estados Unidos,8521.0,5.0,7
Wesley Strick,Aracnofobia ,Estados Unidos,8521.0,5.0,7
Steven Zaillian,Despertares ,Estados Unidos,23646.0,7.4,7
Oliver Sacks,Despertares ,Estados Unidos,23646.0,7.4,7
Bruce Joel Rubin,La escalera de Jacob ,Estados Unidos,10187.0,6.8,7
John Hughes,Solo en casa ,Estados Unidos,119970.0,5.7,7
Pedro Almodóvar,¡Átame! ,España,19626.0,6.5,7
Tom Schulman,El club de los poetas muertos ,Estados Unidos,117558.0,7.6,7
Gregory J. Bonann,Los vigilantes de la playa (Serie de TV),Estados Unidos,62877.0,4.1,7
Michael Berk,Los vigilantes de la playa (Serie de TV),Estados Unidos,62877.0,4.1,7
Douglas Schwartz,Los vigilantes de la playa (Serie de TV),Estados Unidos,62877.0,4.1,7
David Braff,Los vigilantes de la playa (Serie de TV),Estados Unidos,62877.0,4.1,7
Deborah Schwartz,Los vigilantes de la playa (Serie de TV),Estados Unidos,62877.0,4.1,7
Kimmer Ringwald,Los vigilantes de la playa (Serie de TV),Estados Unidos,62877.0,4.1,7
André Jacquemetton,Los vigilantes de la playa (Serie de TV),Estados Unidos,62877.0,4.1,7
Maria Jacquemetton,Los vigilantes de la playa (Serie de TV),Estados Unidos,62877.0,4.1,7
Tanquil Lisa Collins,Los vigilantes de la playa (Serie de TV),Estados Unidos,62877.0,4.1,7
Maurice Hurley,Los vigilantes de la playa (Serie de TV),Estados Unidos,62877.0,4.1,7
Terry Erwin,Los vigilantes de la playa (Serie de TV),Estados Unidos,62877.0,4.1,7
William A. Schwartz,Los vigilantes de la playa (Serie de TV),Estados Unidos,62877.0,4.1,7
Donald R. Boyle,Los vigilantes de la playa (Serie de TV),Estados Unidos,62877.0,4.1,7
Lee Goldberg,Los vigilantes de la playa (Serie de TV),Estados Unidos,62877.0,4.1,7
William Rabkin,Los vigilantes de la playa (Serie de TV),Estados Unidos,62877.0,4.1,7
Frank South,Los vigilantes de la playa (Serie de TV),Estados Unidos,62877.0,4.1,7
Steven Barnes,Los vigilantes de la playa (Serie de TV),Estados Unidos,62877.0,4.1,7
Susan Hamilton Brin,Los vigilantes de la playa (Serie de TV),Estados Unidos,62877.0,4.1,7
Frederick Rappaport,Los vigilantes de la playa (Serie de TV),Estados Unidos,62877.0,4.1,7
Jill Donner,Los vigilantes de la playa (Serie de TV),Estados Unidos,62877.0,4.1,7
Alan Swyer,Los vigilantes de la playa (Serie de TV),Estados Unidos,62877.0,4.1,7
John Whelpley,Los vigilantes de la playa (Serie de TV),Estados Unidos,62877.0,4.1,7
Gillian Horvath,Los vigilantes de la playa (Serie de TV),Estados Unidos,62877.0,4.1,7
Kristy Dobkin,Los vigilantes de la playa (Serie de TV),Estados Unidos,62877.0,4.1,7
W. Reed Moran,Los vigilantes de la playa (Serie de TV),Estados Unidos,62877.0,4.1,7
Ernie Wallengren,Los vigilantes de la playa (Serie de TV),Estados Unidos,62877.0,4.1,7
Kate Boutilier,Los vigilantes de la playa (Serie de TV),Estados Unidos,62877.0,4.1,7
Garner Simmons,Los vigilantes de la playa (Serie de TV),Estados Unidos,62877.0,4.1,7
I.C. Rapoport,Los vigilantes de la playa (Serie de TV),Estados Unidos,62877.0,4.1,7
Gary Capo,Los vigilantes de la playa (Serie de TV),Estados Unidos,62877.0,4.1,7
Peter Kiwitt,Los vigilantes de la playa (Serie de TV),Estados Unidos,62877.0,4.1,7
Julian Whatley,Los vigilantes de la playa (Serie de TV),Estados Unidos,62877.0,4.1,7
Lloyd J. Schwartz,Los vigilantes de la playa (Serie de TV),Estados Unidos,62877.0,4.1,7
Calvin Clements Jr.,Los vigilantes de la playa (Serie de TV),Estados Unidos,62877.0,4.1,7
Gérard Brach,El oso ,Francia,14311.0,7.1,7
James Oliver Curwood,El oso ,Francia,14311.0,7.1,7
Hayao Miyazaki,Mi vecino Totoro ,Japón,48189.0,7.7,7
David Mamet,Los intocables de Eliot Ness ,Estados Unidos,90673.0,7.8,7
Oscar Fraley,Los intocables de Eliot Ness ,Estados Unidos,90673.0,7.8,7
Eliot Ness,Los intocables de Eliot Ness ,Estados Unidos,90673.0,7.8,7
Edward Neumeier,Robocop ,Estados Unidos,81007.0,6.0,7
Michael Miner,Robocop ,Estados Unidos,81007.0,6.0,7
William Goldman,La princesa prometida ,Estados Unidos,64249.0,7.4,7
Pedro Almodóvar,La ley del deseo ,España,11150.0,6.6,7
Clive Barker,Hellraiser ,Reino Unido,12493.0,6.1,7
Clive Barker,Hellraiser ,Reino Unido,12493.0,6.1,7
Bruce A. Evans,Cuenta conmigo ,Estados Unidos,32341.0,7.3,7
Raynold Gideon,Cuenta conmigo ,Estados Unidos,32341.0,7.3,7
Stephen King,Cuenta conmigo ,Estados Unidos,32341.0,7.3,7
Stephen Herek,Critters ,Estados Unidos,11897.0,5.4,7
Don Keith Opper,Critters ,Estados Unidos,11897.0,5.4,7
Domonic Muir,Critters ,Estados Unidos,11897.0,5.4,7
Eric Red,Carretera al infierno ,Estados Unidos,5180.0,6.4,7
David Lynch,Terciopelo azul ,Estados Unidos,54970.0,7.4,7
Robert Bolt,La misión ,Reino Unido,55869.0,7.6,7
Wes Craven,Pesadilla en Elm Street ,Estados Unidos,55576.0,6.6,7
Dan Aykroyd,Los cazafantasmas ,Estados Unidos,117090.0,6.5,7
Harold Ramis,Los cazafantasmas ,Estados Unidos,117090.0,6.5,7
Rick Moranis,Los cazafantasmas ,Estados Unidos,117090.0,6.5,7
James Cameron,Terminator ,Estados Unidos,141917.0,7.1,7
Gale Anne Hurd,Terminator ,Estados Unidos,141917.0,7.1,7
Wolfgang Petersen,La historia interminable ,Alemania del Oeste (RFA),98014.0,6.9,7
Herman Weigel,La historia interminable ,Alemania del Oeste (RFA),98014.0,6.9,7
Michael Ende,La historia interminable ,Alemania del Oeste (RFA),98014.0,6.9,7
Michael Radford,1984 ,Reino Unido,11254.0,6.4,7
George Orwell,1984 ,Reino Unido,11254.0,6.4,7
Oliver Stone,El precio del poder ,Estados Unidos,91924.0,8.2,7
Armitage Trail,El precio del poder ,Estados Unidos,91924.0,8.2,7
Lawrence Kasdan,La guerra de las galaxias. Episodio VI: El retorno del Jedi ,Estados Unidos,122459.0,7.9,7
George Lucas,La guerra de las galaxias. Episodio VI: El retorno del Jedi ,Estados Unidos,122459.0,7.9,7
Gonzalo Goicoechea,El pico ,España,9847.0,6.7,7
Claudio Biern Boyd,La vuelta al mundo de Willy Fog (Serie de TV),España,35443.0,6.7,7
Ryuzo Nakanishi,La vuelta al mundo de Willy Fog (Serie de TV),España,35443.0,6.7,7
Jules Verne,La vuelta al mundo de Willy Fog (Serie de TV),España,35443.0,6.7,7
John Landis,Michael Jackson's Thriller (Vídeo musical),Estados Unidos,6078.0,8.0,7
Michael Jackson,Michael Jackson's Thriller (Vídeo musical),Estados Unidos,6078.0,8.0,7
Jeffrey Boam,La zona muerta ,Estados Unidos,11177.0,6.6,7
Stephen King,La zona muerta ,Estados Unidos,11177.0,6.6,7
Steven Spielberg,Poltergeist (Fenómenos extraños) ,Estados Unidos,32341.0,6.8,7
Michael Grais,Poltergeist (Fenómenos extraños) ,Estados Unidos,32341.0,6.8,7
Mark Victor,Poltergeist (Fenómenos extraños) ,Estados Unidos,32341.0,6.8,7
Larry Clemmons,Tod y Toby ,Estados Unidos,11796.0,6.3,7
Peter Young,Tod y Toby ,Estados Unidos,11796.0,6.3,7
Steve Hulett,Tod y Toby ,Estados Unidos,11796.0,6.3,7
David Michener,Tod y Toby ,Estados Unidos,11796.0,6.3,7
Burny Mattinson,Tod y Toby ,Estados Unidos,11796.0,6.3,7
Earl Kress,Tod y Toby ,Estados Unidos,11796.0,6.3,7
Vance Gerry,Tod y Toby ,Estados Unidos,11796.0,6.3,7
Laurence Block,La casa de los horrores ,Estados Unidos,1602.0,5.5,7
John Landis,Un hombre lobo americano en Londres ,Reino Unido,27468.0,6.7,7
Leigh Brackett,La guerra de las galaxias. Episodio V: El imperio contraataca ,Estados Unidos,136200.0,8.1,7
Lawrence Kasdan,La guerra de las galaxias. Episodio V: El imperio contraataca ,Estados Unidos,136200.0,8.1,7
George Lucas,La guerra de las galaxias. Episodio V: El imperio contraataca ,Estados Unidos,136200.0,8.1,7
Paul Schrader,Toro salvaje ,Estados Unidos,53737.0,8.1,7
Mardik Martin,Toro salvaje ,Estados Unidos,53737.0,8.1,7
Jake LaMotta,Toro salvaje ,Estados Unidos,53737.0,8.1,7
Eloy de la Iglesia,Navajeros ,España,4755.0,6.4,7
Gonzalo Goicoechea,Navajeros ,España,4755.0,6.4,7
Woody Allen,Manhattan ,Estados Unidos,54294.0,8.1,7
Marshall Brickman,Manhattan ,Estados Unidos,54294.0,8.1,7
George Lucas,La guerra de las galaxias. Episodio IV: Una nueva esperanza ,Estados Unidos,136701.0,7.9,7
Sylvester Stallone,Rocky ,Estados Unidos,91110.0,7.1,7
David Seltzer,La profecía ,Estados Unidos,43702.0,7.4,7
Bo Goldman,Alguien voló sobre el nido del cuco ,Estados Unidos,110654.0,8.3,7
Lawrence Hauben,Alguien voló sobre el nido del cuco ,Estados Unidos,110654.0,8.3,7
Ken Kesey,Alguien voló sobre el nido del cuco ,Estados Unidos,110654.0,8.3,7
Paul Dehn,Asesinato en el Orient Express ,Reino Unido,15167.0,7.0,7
Agatha Christie,Asesinato en el Orient Express ,Reino Unido,15167.0,7.0,7
David S. Ward,El golpe ,Estados Unidos,100494.0,8.5,7
Larry Clemmons,Robin Hood ,Estados Unidos,20944.0,6.8,7
Jaime de Armiñán,Mi querida señorita ,España,3945.0,7.0,7
José Luis Borau,Mi querida señorita ,España,3945.0,7.0,7
Anthony Shaffer,Frenesí ,Reino Unido,16387.0,7.5,7
Arthur La Bern,Frenesí ,Reino Unido,16387.0,7.5,7
Anthony Shaffer,La huella ,Reino Unido,31505.0,8.1,7
Anthony Shaffer,La huella ,Reino Unido,31505.0,8.1,7
Antonio Mercero,La cabina (TV),España,23158.0,7.7,7
José Luis Garci,La cabina (TV),España,23158.0,7.7,7
Fridrikh Gorenshtein,Solaris ,Unión Soviética (URSS),15125.0,7.5,7
Andrei Tarkovsky,Solaris ,Unión Soviética (URSS),15125.0,7.5,7
Stanislaw Lem,Solaris ,Unión Soviética (URSS),15125.0,7.5,7
Ralph Wright,Los aristogatos ,Estados Unidos,52557.0,6.5,7
Tom McGowan,Los aristogatos ,Estados Unidos,52557.0,6.5,7
Frank Thomas,Los aristogatos ,Estados Unidos,52557.0,6.5,7
Ken Anderson,Los aristogatos ,Estados Unidos,52557.0,6.5,7
William Goldman,Dos hombres y un destino ,Estados Unidos,37692.0,7.9,7
,Barrio Sésamo (Serie de TV),Estados Unidos,33902.0,7.1,7
John A. Russo,La noche de los muertos vivientes ,Estados Unidos,36284.0,7.1,7
George A. Romero,La noche de los muertos vivientes ,Estados Unidos,36284.0,7.1,7
Larry Clemmons,El libro de la selva ,Estados Unidos,43070.0,7.2,7
Rudyard Kipling,El libro de la selva ,Estados Unidos,43070.0,7.2,7
Agenore Incrocci,"El bueno, el feo y el malo ",Italia,66945.0,8.2,7
Furio Scarpelli,"El bueno, el feo y el malo ",Italia,66945.0,8.2,7
Luciano Vincenzoni,"El bueno, el feo y el malo ",Italia,66945.0,8.2,7
Sergio Leone,"El bueno, el feo y el malo ",Italia,66945.0,8.2,7
Ingmar Bergman,Persona ,Suecia,23884.0,8.1,7
Ernest Lehman,Sonrisas y lágrimas ,Estados Unidos,57972.0,6.9,7
Bill Walsh,Mary Poppins ,Estados Unidos,91375.0,7.1,7
Don DaGradi,Mary Poppins ,Estados Unidos,91375.0,7.1,7
P.L. Travers,Mary Poppins ,Estados Unidos,91375.0,7.1,7
Bill Peet,Merlín el encantador ,Estados Unidos,27266.0,7.1,7
T.H. White,Merlín el encantador ,Estados Unidos,27266.0,7.1,7
Chris Marker,El muelle (La Jetée) ,Francia,11853.0,7.9,7
James Warner Bellah,El hombre que mató a Liberty Valance ,Estados Unidos,34489.0,8.3,7
Willis Goldbeck,El hombre que mató a Liberty Valance ,Estados Unidos,34489.0,8.3,7
Dorothy M. Johnson,El hombre que mató a Liberty Valance ,Estados Unidos,34489.0,8.3,7
Abby Mann,¿Vencedores o vencidos? (El juicio de Nuremberg) ,Estados Unidos,13057.0,8.2,7
Abby Mann,¿Vencedores o vencidos? (El juicio de Nuremberg) ,Estados Unidos,13057.0,8.2,7
Bill Peet,101 dálmatas ,Estados Unidos,79312.0,6.5,7
Dodie Smith,101 dálmatas ,Estados Unidos,79312.0,6.5,7
Billy Wilder,"Uno, dos, tres ",Estados Unidos,27028.0,8.2,7
I.A.L. Diamond,"Uno, dos, tres ",Estados Unidos,27028.0,8.2,7
Ferenc Molnár,"Uno, dos, tres ",Estados Unidos,27028.0,8.2,7
Dalton Trumbo,Espartaco ,Estados Unidos,68871.0,8.0,7
Howard Fast,Espartaco ,Estados Unidos,68871.0,8.0,7
Claude Sautet,Los ojos sin rostro ,Francia,6089.0,7.4,7
Pierre Boileau,Los ojos sin rostro ,Francia,6089.0,7.4,7
Thomas Narcejac,Los ojos sin rostro ,Francia,6089.0,7.4,7
Jean Redon,Los ojos sin rostro ,Francia,6089.0,7.4,7
Stirling Silliphant,El pueblo de los malditos ,Reino Unido,5870.0,7.0,7
Wolf Rilla,El pueblo de los malditos ,Reino Unido,5870.0,7.0,7
George Barclay,El pueblo de los malditos ,Reino Unido,5870.0,7.0,7
John Wyndham,El pueblo de los malditos ,Reino Unido,5870.0,7.0,7
Billy Wilder,El apartamento ,Estados Unidos,81272.0,8.4,7
I.A.L. Diamond,El apartamento ,Estados Unidos,81272.0,8.4,7
Billy Wilder,Con faldas y a lo loco ,Estados Unidos,82705.0,8.3,7
I.A.L. Diamond,Con faldas y a lo loco ,Estados Unidos,82705.0,8.3,7
Robert Thoeren,Con faldas y a lo loco ,Estados Unidos,82705.0,8.3,7
Michael Logan,Con faldas y a lo loco ,Estados Unidos,82705.0,8.3,7
Karl Tunberg,Ben-Hur ,Estados Unidos,67231.0,7.9,7
Lewis Wallace,Ben-Hur ,Estados Unidos,67231.0,7.9,7
Alec Coppel,Vértigo (De entre los muertos) ,Estados Unidos,71213.0,8.2,7
Samuel Taylor,Vértigo (De entre los muertos) ,Estados Unidos,71213.0,8.2,7
Maxwell Anderson,Vértigo (De entre los muertos) ,Estados Unidos,71213.0,8.2,7
Pierre Boileau,Vértigo (De entre los muertos) ,Estados Unidos,71213.0,8.2,7
Thomas Narcejac,Vértigo (De entre los muertos) ,Estados Unidos,71213.0,8.2,7
Michael Wilson,El puente sobre el río Kwai ,Reino Unido,49982.0,7.8,7
Carl Foreman,El puente sobre el río Kwai ,Reino Unido,49982.0,7.8,7
Pierre Boulle,El puente sobre el río Kwai ,Reino Unido,49982.0,7.8,7
Richard Matheson,El increíble hombre menguante ,Estados Unidos,14199.0,7.6,7
Richard Matheson,El increíble hombre menguante ,Estados Unidos,14199.0,7.6,7
H.G. Clouzot,Las diabólicas ,Francia,10651.0,8.0,7
Jérome Géronimi,Las diabólicas ,Francia,10651.0,8.0,7
René Masson,Las diabólicas ,Francia,10651.0,8.0,7
Frédéric Grendel,Las diabólicas ,Francia,10651.0,8.0,7
Pierre Boileau,Las diabólicas ,Francia,10651.0,8.0,7
Thomas Narcejac,Las diabólicas ,Francia,10651.0,8.0,7
Erdman Penner,La dama y el vagabundo ,Estados Unidos,28430.0,6.7,7
Joe Rinaldi,La dama y el vagabundo ,Estados Unidos,28430.0,6.7,7
Ralph Wright,La dama y el vagabundo ,Estados Unidos,28430.0,6.7,7
Don DaGradi,La dama y el vagabundo ,Estados Unidos,28430.0,6.7,7
John Michael Hayes,La ventana indiscreta ,Estados Unidos,77244.0,8.2,7
Cornell Woolrich,La ventana indiscreta ,Estados Unidos,77244.0,8.2,7
Ian McLellan Hunter,Vacaciones en Roma ,Estados Unidos,34221.0,7.9,7
John Dighton,Vacaciones en Roma ,Estados Unidos,34221.0,7.9,7
Dalton Trumbo,Vacaciones en Roma ,Estados Unidos,34221.0,7.9,7
Dalton Trumbo,Vacaciones en Roma ,Estados Unidos,34221.0,7.9,7
Ted Sears,Peter Pan ,Estados Unidos,33347.0,7.1,7
Erdman Penner,Peter Pan ,Estados Unidos,33347.0,7.1,7
Bill Peet,Peter Pan ,Estados Unidos,33347.0,7.1,7
Winston Hibler,Peter Pan ,Estados Unidos,33347.0,7.1,7
Joe Rinaldi,Peter Pan ,Estados Unidos,33347.0,7.1,7
Milt Banta,Peter Pan ,Estados Unidos,33347.0,7.1,7
Ralph Wright,Peter Pan ,Estados Unidos,33347.0,7.1,7
William Cottrell,Peter Pan ,Estados Unidos,33347.0,7.1,7
J M. Barrie,Peter Pan ,Estados Unidos,33347.0,7.1,7
Betty Comden,Cantando bajo la lluvia ,Estados Unidos,48175.0,8.1,7
Adolph Green,Cantando bajo la lluvia ,Estados Unidos,48175.0,8.1,7
Carl Foreman,Solo ante el peligro ,Estados Unidos,27702.0,8.1,7
Tennessee Williams,Un tranvía llamado Deseo ,Estados Unidos,30882.0,8.0,7
Tennessee Williams,Un tranvía llamado Deseo ,Estados Unidos,30882.0,8.0,7
Roberto Rossellini,"Alemania, año cero ",Italia,8014.0,8.0,7
Carlo Lizzani,"Alemania, año cero ",Italia,8014.0,8.0,7
Max Colpet,"Alemania, año cero ",Italia,8014.0,8.0,7
Basilio Franchina,"Alemania, año cero ",Italia,8014.0,8.0,7
Cesare Zavattini,Ladrón de bicicletas ,Italia,36025.0,8.3,7
Vittorio De Sica,Ladrón de bicicletas ,Italia,36025.0,8.3,7
Gherardo Gherardi,Ladrón de bicicletas ,Italia,36025.0,8.3,7
"""Suso Cecchi d'Amico""",Ladrón de bicicletas ,Italia,36025.0,8.3,7
Oreste Biancoli,Ladrón de bicicletas ,Italia,36025.0,8.3,7
Adolfo Franci,Ladrón de bicicletas ,Italia,36025.0,8.3,7
Gerardo Guerrieri,Ladrón de bicicletas ,Italia,36025.0,8.3,7
Luigi Bartolini,Ladrón de bicicletas ,Italia,36025.0,8.3,7
Orson Welles,La dama de Shanghai ,Estados Unidos,12468.0,7.7,7
Sherwood King,La dama de Shanghai ,Estados Unidos,12468.0,7.7,7
William Faulkner,El sueño eterno ,Estados Unidos,23798.0,8.1,7
Leigh Brackett,El sueño eterno ,Estados Unidos,23798.0,8.1,7
Jules Furthman,El sueño eterno ,Estados Unidos,23798.0,8.1,7
Raymond Chandler,El sueño eterno ,Estados Unidos,23798.0,8.1,7
Federico Fellini,"Roma, ciudad abierta ",Italia,16942.0,8.2,7
Sergio Amidei,"Roma, ciudad abierta ",Italia,16942.0,8.2,7
Roberto Rossellini,"Roma, ciudad abierta ",Italia,16942.0,8.2,7
Sergio Amidei,"Roma, ciudad abierta ",Italia,16942.0,8.2,7
Alberto Consiglio,"Roma, ciudad abierta ",Italia,16942.0,8.2,7
Jules Furthman,Tener y no tener ,Estados Unidos,13056.0,7.9,7
William Faulkner,Tener y no tener ,Estados Unidos,13056.0,7.9,7
Ernest Hemingway,Tener y no tener ,Estados Unidos,13056.0,7.9,7
Julius J. Epstein,Arsénico por compasión ,Estados Unidos,24165.0,8.0,7
Philip G. Epstein,Arsénico por compasión ,Estados Unidos,24165.0,8.0,7
Joseph Kesselring,Arsénico por compasión ,Estados Unidos,24165.0,8.0,7
Julius J. Epstein,Casablanca ,Estados Unidos,97855.0,8.4,7
Philip G. Epstein,Casablanca ,Estados Unidos,97855.0,8.4,7
Howard Koch,Casablanca ,Estados Unidos,97855.0,8.4,7
Murray Burnett,Casablanca ,Estados Unidos,97855.0,8.4,7
Joan Alison,Casablanca ,Estados Unidos,97855.0,8.4,7
Herman J. Mankiewicz,Ciudadano Kane ,Estados Unidos,79351.0,8.2,7
Orson Welles,Ciudadano Kane ,Estados Unidos,79351.0,8.2,7
Heck Allen,Tom y Jerry (Serie de TV),Estados Unidos,31772.0,6.8,7
Tex Avery,Tom y Jerry (Serie de TV),Estados Unidos,31772.0,6.8,7
Rich Hogan,Tom y Jerry (Serie de TV),Estados Unidos,31772.0,6.8,7
Rudolf Ising,Tom y Jerry (Serie de TV),Estados Unidos,31772.0,6.8,7
Michael Lah,Tom y Jerry (Serie de TV),Estados Unidos,31772.0,6.8,7
Tom Ray,Tom y Jerry (Serie de TV),Estados Unidos,31772.0,6.8,7
None,Tom y Jerry (Serie de TV),Estados Unidos,31772.0,6.8,7
Perce Pearce,El aprendiz de brujo (C),Estados Unidos,12186.0,7.6,7
Carl Fallberg,El aprendiz de brujo (C),Estados Unidos,12186.0,7.6,7
Johann Wolfgang von Goethe,El aprendiz de brujo (C),Estados Unidos,12186.0,7.6,7
Joe Grant,Fantasía ,Estados Unidos,29234.0,7.4,7
Dick Huemer,Fantasía ,Estados Unidos,29234.0,7.4,7
Ted Sears,Pinocho ,Estados Unidos,43870.0,6.8,7
Webb Smith,Pinocho ,Estados Unidos,43870.0,6.8,7
Joseph Sabo,Pinocho ,Estados Unidos,43870.0,6.8,7
Otto Englander,Pinocho ,Estados Unidos,43870.0,6.8,7
William Cottrell,Pinocho ,Estados Unidos,43870.0,6.8,7
Aurelius Battaglia,Pinocho ,Estados Unidos,43870.0,6.8,7
Erdman Penner,Pinocho ,Estados Unidos,43870.0,6.8,7
Carlo Collodi,Pinocho ,Estados Unidos,43870.0,6.8,7
Charles Brackett,Ninotchka ,Estados Unidos,15077.0,8.0,7
Billy Wilder,Ninotchka ,Estados Unidos,15077.0,8.0,7
Walter Reisch,Ninotchka ,Estados Unidos,15077.0,8.0,7
Melchior Lengyel,Ninotchka ,Estados Unidos,15077.0,8.0,7
Ted Sears,Blancanieves y los siete enanitos ,Estados Unidos,83590.0,6.8,7
