guionistas,titulo,pais,votos,votacion,nota
Michael Borkow,Friends (Serie de TV),Estados Unidos,142317.0,8.2,10
Robert Carlock,Friends (Serie de TV),Estados Unidos,142317.0,8.2,10
Gigi McCreery,Friends (Serie de TV),Estados Unidos,142317.0,8.2,10
Perry M. Rein,Friends (Serie de TV),Estados Unidos,142317.0,8.2,10
Brian Boyle,Friends (Serie de TV),Estados Unidos,142317.0,8.2,10
Jeff Greenstein,Friends (Serie de TV),Estados Unidos,142317.0,8.2,10
Jeff Strauss,Friends (Serie de TV),Estados Unidos,142317.0,8.2,10
Jill Condon,Friends (Serie de TV),Estados Unidos,142317.0,8.2,10
Amy Toomin,Friends (Serie de TV),Estados Unidos,142317.0,8.2,10
Zachary Rosenblatt,Friends (Serie de TV),Estados Unidos,142317.0,8.2,10
Chris Brown,Friends (Serie de TV),Estados Unidos,142317.0,8.2,10
Alicia Sky Varinaitis,Friends (Serie de TV),Estados Unidos,142317.0,8.2,10
Peter Tibbals,Friends (Serie de TV),Estados Unidos,142317.0,8.2,10
Steven Zaillian,La lista de Schindler ,Estados Unidos,174298.0,8.6,10
Thomas Keneally,La lista de Schindler ,Estados Unidos,174298.0,8.6,10
Stanley Kubrick,La chaqueta metálica ,Reino Unido,122457.0,8.2,10
Michael Herr,La chaqueta metálica ,Reino Unido,122457.0,8.2,10
Gustav Hasford,La chaqueta metálica ,Reino Unido,122457.0,8.2,10
Gustav Hasford,La chaqueta metálica ,Reino Unido,122457.0,8.2,10
David Webb Peoples,Blade Runner ,Estados Unidos,136125.0,8.1,10
Hampton Fancher,Blade Runner ,Estados Unidos,136125.0,8.1,10
Philip K. Dick,Blade Runner ,Estados Unidos,136125.0,8.1,10
David Lynch,El hombre elefante ,Estados Unidos,42610.0,8.1,10
Eric Bergren,El hombre elefante ,Estados Unidos,42610.0,8.1,10
Christopher De Vore,El hombre elefante ,Estados Unidos,42610.0,8.1,10
John Merrick,El hombre elefante ,Estados Unidos,42610.0,8.1,10
Stanley Kubrick,2001: Una odisea del espacio ,Reino Unido,114863.0,7.8,10
Arthur C. Clarke,2001: Una odisea del espacio ,Reino Unido,114863.0,7.8,10
Arthur C. Clarke,2001: Una odisea del espacio ,Reino Unido,114863.0,7.8,10
Horton Foote,Matar a un ruiseñor ,Estados Unidos,48608.0,8.3,10
Harper Lee,Matar a un ruiseñor ,Estados Unidos,48608.0,8.3,10
Joseph Stefano,Psicosis ,Estados Unidos,108789.0,8.4,10
Robert Bloch,Psicosis ,Estados Unidos,108789.0,8.4,10
Stanley Kubrick,Senderos de gloria ,Estados Unidos,55924.0,8.4,10
Calder Willingham,Senderos de gloria ,Estados Unidos,55924.0,8.4,10
Jim Thompson,Senderos de gloria ,Estados Unidos,55924.0,8.4,10
Humphrey Cobb,Senderos de gloria ,Estados Unidos,55924.0,8.4,10
Reginald Rose,Doce hombres sin piedad ,Estados Unidos,70179.0,8.7,10
