productores,titulo,pais,votos,votacion,nota
Universal Pictures,Ex Machina ,Reino Unido,52678.0,7.1,9
Warner Bros.,Interstellar ,Estados Unidos,101097.0,7.9,9
Syncopy Production,Interstellar ,Estados Unidos,101097.0,7.9,9
Paramount Pictures,Interstellar ,Estados Unidos,101097.0,7.9,9
Legendary Pictures,Interstellar ,Estados Unidos,101097.0,7.9,9
Lynda Obst Productions,Interstellar ,Estados Unidos,101097.0,7.9,9
Northern Lights Films,It Follows ,Estados Unidos,25499.0,6.3,9
Animal Kingdom,It Follows ,Estados Unidos,25499.0,6.3,9
Two Flints,It Follows ,Estados Unidos,25499.0,6.3,9
Indigo Film,La gran belleza ,Italia,36800.0,7.4,9
Medusa Produzione,La gran belleza ,Italia,36800.0,7.4,9
Pathé,La gran belleza ,Italia,36800.0,7.4,9
France 2 Cinema,La gran belleza ,Italia,36800.0,7.4,9
Babe Film,La gran belleza ,Italia,36800.0,7.4,9
Canal+,La gran belleza ,Italia,36800.0,7.4,9
Mediaset,La gran belleza ,Italia,36800.0,7.4,9
Fox Searchlight,Stoker ,Estados Unidos,27159.0,6.6,9
Scott Free Productions,Stoker ,Estados Unidos,27159.0,6.6,9
Starburns Industries,Rick y Morty (Serie de TV),Estados Unidos,30732.0,8.3,9
Green Portal Productions,Rick y Morty (Serie de TV),Estados Unidos,30732.0,8.3,9
Harmonius Claptrap,Rick y Morty (Serie de TV),Estados Unidos,30732.0,8.3,9
"""Justin Roiland's Solo Vanity Card Productions""",Rick y Morty (Serie de TV),Estados Unidos,30732.0,8.3,9
Williams Street,Rick y Morty (Serie de TV),Estados Unidos,30732.0,8.3,9
Adult Swim,Rick y Morty (Serie de TV),Estados Unidos,30732.0,8.3,9
Annapurna Pictures,Her ,Estados Unidos,77359.0,7.5,9
Stage 6 Films,Her ,Estados Unidos,77359.0,7.5,9
Warner Bros.,Her ,Estados Unidos,77359.0,7.5,9
Studio Ghibli,El cuento de la princesa Kaguya ,Japón,9035.0,7.6,9
Bellanova Films,Coherence ,Estados Unidos,33886.0,7.1,9
Ugly Duckling Films,Coherence ,Estados Unidos,33886.0,7.1,9
Bitter Films,It's Such a Beautiful Day (C),Estados Unidos,1368.0,7.5,9
Paramount Pictures,Shutter Island ,Estados Unidos,125011.0,7.6,9
Phoenix Pictures,Shutter Island ,Estados Unidos,125011.0,7.6,9
Sikelia Productions,Shutter Island ,Estados Unidos,125011.0,7.6,9
Appian Way,Shutter Island ,Estados Unidos,125011.0,7.6,9
Martin Scorsese,Shutter Island ,Estados Unidos,125011.0,7.6,9
Fox Searchlight,Cisne negro ,Estados Unidos,116245.0,7.6,9
Cross Creek Pictures,Cisne negro ,Estados Unidos,116245.0,7.6,9
Protozoa Pictures,Cisne negro ,Estados Unidos,116245.0,7.6,9
Phoenix Pictures,Cisne negro ,Estados Unidos,116245.0,7.6,9
Dune Entertainment,Cisne negro ,Estados Unidos,116245.0,7.6,9
Fox Searchlight,Cisne negro ,Estados Unidos,116245.0,7.6,9
The Animation Workshop,El evangelio de Backwater (C),Dinamarca,1424.0,7.0,9
Warner Bros.,Origen ,Estados Unidos,156576.0,8.0,9
Legendary Pictures,Origen ,Estados Unidos,156576.0,8.0,9
Syncopy Production,Origen ,Estados Unidos,156576.0,8.0,9
Warner Bros.,Origen ,Estados Unidos,156576.0,8.0,9
Sony Pictures Classics,Moon ,Reino Unido,52864.0,7.1,9
Liberty Films UK,Moon ,Reino Unido,52864.0,7.1,9
Fox Searchlight,Slumdog Millionaire ,Reino Unido,136598.0,7.7,9
Celador Films,Slumdog Millionaire ,Reino Unido,136598.0,7.7,9
Film4 Productions,Slumdog Millionaire ,Reino Unido,136598.0,7.7,9
Pathé,Slumdog Millionaire ,Reino Unido,136598.0,7.7,9
Warner Independent,Slumdog Millionaire ,Reino Unido,136598.0,7.7,9
Warner Bros.,Gran Torino ,Estados Unidos,146335.0,8.2,9
Village Roadshow,Gran Torino ,Estados Unidos,146335.0,8.2,9
Malpaso Productions,Gran Torino ,Estados Unidos,146335.0,8.2,9
Double Nickel Entertainment,Gran Torino ,Estados Unidos,146335.0,8.2,9
Bitter Films,I Am So Proud of You (C),Estados Unidos,1087.0,7.3,9
Pixar Animation Studios,Ratatouille ,Estados Unidos,99514.0,7.3,9
Walt Disney Pictures,Ratatouille ,Estados Unidos,99514.0,7.3,9
Wiedemann & Berg Filmproduktion,La vida de los otros ,Alemania,75445.0,8.0,9
Bayerischer Rundfunk (BR),La vida de los otros ,Alemania,75445.0,8.0,9
arte,La vida de los otros ,Alemania,75445.0,8.0,9
Creado Film,La vida de los otros ,Alemania,75445.0,8.0,9
Bitter Films,Everything Will Be Ok (C),Estados Unidos,2063.0,7.0,9
BBC Film,Match Point ,Reino Unido,120694.0,7.7,9
DreamWorks SKG,Match Point ,Reino Unido,120694.0,7.7,9
Focus Features,¡Olvídate de mí! ,Estados Unidos,104272.0,7.6,9
Zentropa Productions,Dogville ,Dinamarca,68434.0,7.5,9
Columbia Pictures,Big Fish ,Estados Unidos,130984.0,7.9,9
Zanuck Company,Big Fish ,Estados Unidos,130984.0,7.9,9
Jinks-Cohen Company,Big Fish ,Estados Unidos,130984.0,7.9,9
Columbia Pictures,Big Fish ,Estados Unidos,130984.0,7.9,9
HBO,The Wire (Bajo escucha) (Serie de TV),Estados Unidos,48467.0,8.8,9
O2 Filmes,Ciudad de Dios ,Brasil,127594.0,8.4,9
VideoFilmes,Ciudad de Dios ,Brasil,127594.0,8.4,9
Globo Filmes,Ciudad de Dios ,Brasil,127594.0,8.4,9
Wild Bunch,Ciudad de Dios ,Brasil,127594.0,8.4,9
Lumière,Ciudad de Dios ,Brasil,127594.0,8.4,9
Studiocanal,Ciudad de Dios ,Brasil,127594.0,8.4,9
Hank Levine Film,Ciudad de Dios ,Brasil,127594.0,8.4,9
Lereby Produções,Ciudad de Dios ,Brasil,127594.0,8.4,9
DreamWorks Animation,Shrek ,Estados Unidos,155549.0,7.7,9
DreamWorks SKG,Shrek ,Estados Unidos,155549.0,7.7,9
Pacific Data Images (PDI),Shrek ,Estados Unidos,155549.0,7.7,9
Flower Films,Donnie Darko ,Estados Unidos,80470.0,7.4,9
Pandora Cinema,Donnie Darko ,Estados Unidos,80470.0,7.4,9
Adam Fields Productions,Donnie Darko ,Estados Unidos,80470.0,7.4,9
Gaylord Films,Donnie Darko ,Estados Unidos,80470.0,7.4,9
Artisan Entertainment,Réquiem por un sueño ,Estados Unidos,121368.0,7.8,9
Thousand Words,Réquiem por un sueño ,Estados Unidos,121368.0,7.8,9
Sibling Productions,Réquiem por un sueño ,Estados Unidos,121368.0,7.8,9
Protozoa Pictures,Réquiem por un sueño ,Estados Unidos,121368.0,7.8,9
Industry Entertainment,Réquiem por un sueño ,Estados Unidos,121368.0,7.8,9
Bandeira Entertainment,Réquiem por un sueño ,Estados Unidos,121368.0,7.8,9
Truth and Soul Pictures,Réquiem por un sueño ,Estados Unidos,121368.0,7.8,9
El Deseo,Todo sobre mi madre ,España,76513.0,7.1,9
Renn Productions,Todo sobre mi madre ,España,76513.0,7.1,9
France 2 Cinema,Todo sobre mi madre ,España,76513.0,7.1,9
DreamWorks SKG,American Beauty ,Estados Unidos,170506.0,7.9,9
Fox 2000 Pictures,El club de la lucha ,Estados Unidos,186749.0,8.1,9
Regency Enterprises,El club de la lucha ,Estados Unidos,186749.0,8.1,9
Linson Films,El club de la lucha ,Estados Unidos,186749.0,8.1,9
Atman Entertainment,El club de la lucha ,Estados Unidos,186749.0,8.1,9
Knickerbocker Films,El club de la lucha ,Estados Unidos,186749.0,8.1,9
Taurus Film,El club de la lucha ,Estados Unidos,186749.0,8.1,9
Hollywood Pictures,El sexto sentido ,Estados Unidos,162349.0,7.6,9
Spyglass Entertainment,El sexto sentido ,Estados Unidos,162349.0,7.6,9
The Kennedy/Marshall Company,El sexto sentido ,Estados Unidos,162349.0,7.6,9
Barry Mendel Productions,El sexto sentido ,Estados Unidos,162349.0,7.6,9
Buena Vista Pictures,El sexto sentido ,Estados Unidos,162349.0,7.6,9
Warner Bros.,Eyes Wide Shut ,Reino Unido,63630.0,6.8,9
Stanley Kubrick Production,Eyes Wide Shut ,Reino Unido,63630.0,6.8,9
Hobby Films,Eyes Wide Shut ,Reino Unido,63630.0,6.8,9
Pole Star,Eyes Wide Shut ,Reino Unido,63630.0,6.8,9
New Line Cinema,American History X ,Estados Unidos,152158.0,8.3,9
Regency Enterprises,L.A. Confidential ,Estados Unidos,78370.0,7.7,9
The Wolper Organization,L.A. Confidential ,Estados Unidos,78370.0,7.7,9
Warner Bros.,L.A. Confidential ,Estados Unidos,78370.0,7.7,9
Warner Bros.,L.A. Confidential ,Estados Unidos,78370.0,7.7,9
Universal Pictures,12 monos ,Estados Unidos,119254.0,7.4,9
Castle Rock Entertainment,Cadena perpetua ,Estados Unidos,168504.0,8.6,9
Columbia Pictures,Cadena perpetua ,Estados Unidos,168504.0,8.6,9
Paramount Pictures,Forrest Gump ,Estados Unidos,201637.0,8.2,9
Capitol Films,La muerte y la doncella ,Reino Unido,10208.0,7.3,9
Flach Film,La muerte y la doncella ,Reino Unido,10208.0,7.3,9
Canal+,La muerte y la doncella ,Reino Unido,10208.0,7.3,9
TF1 Films Production,La muerte y la doncella ,Reino Unido,10208.0,7.3,9
New Line Cinema,En la boca del miedo ,Estados Unidos,10456.0,6.6,9
Pathé Entertainment,Thelma & Louise ,Estados Unidos,42382.0,7.2,9
Percy Main,Thelma & Louise ,Estados Unidos,42382.0,7.2,9
Metro-Goldwyn-Mayer (MGM),Thelma & Louise ,Estados Unidos,42382.0,7.2,9
Star Partners,Thelma & Louise ,Estados Unidos,42382.0,7.2,9
Metro-Goldwyn-Mayer (MGM),Thelma & Louise ,Estados Unidos,42382.0,7.2,9
Orion Pictures,El silencio de los corderos ,Estados Unidos,174287.0,8.2,9
Gracie Films,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
20th Century Fox Television,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
Film Roman,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
The Curiosity Company,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
Fox Television Animation,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
FOX,Los Simpson (Serie de TV),Estados Unidos,171507.0,8.6,9
Les Films Ariane,Cinema Paradiso ,Italia,92235.0,8.3,9
Cristaldifilm,Cinema Paradiso ,Italia,92235.0,8.3,9
TF1 Films Production,Cinema Paradiso ,Italia,92235.0,8.3,9
RAI 3,Cinema Paradiso ,Italia,92235.0,8.3,9
Forum Picture,Cinema Paradiso ,Italia,92235.0,8.3,9
Studio Ghibli,La tumba de las luciérnagas ,Japón,40553.0,8.0,9
El Deseo,Mujeres al borde de un ataque de nervios ,España,50871.0,7.0,9
LaurenFilm S.A,Mujeres al borde de un ataque de nervios ,España,50871.0,7.0,9
Warner Bros.,Érase una vez en América ,Estados Unidos,57469.0,8.3,9
Arnon Milchan Production,Érase una vez en América ,Estados Unidos,57469.0,8.3,9
Walt Disney Productions,Vincent (C),Estados Unidos,20065.0,7.6,9
Buena Vista Distribution Company,Vincent (C),Estados Unidos,20065.0,7.6,9
Hawk Films,El resplandor ,Reino Unido,147746.0,8.2,9
Peregrine,El resplandor ,Reino Unido,147746.0,8.2,9
Warner Bros.,El resplandor ,Reino Unido,147746.0,8.2,9
Producers Circle,El resplandor ,Reino Unido,147746.0,8.2,9
Warner Bros.,El resplandor ,Reino Unido,147746.0,8.2,9
AVCO Embassy Pictures,La niebla ,Estados Unidos,8395.0,6.2,9
EDI,La niebla ,Estados Unidos,8395.0,6.2,9
Debra Hill,La niebla ,Estados Unidos,8395.0,6.2,9
Zoetrope Studios,Apocalypse Now ,Estados Unidos,107140.0,8.2,9
United Artists,Apocalypse Now ,Estados Unidos,107140.0,8.2,9
Malpaso Productions,Fuga de Alcatraz ,Estados Unidos,34141.0,7.6,9
Paramount Pictures,Fuga de Alcatraz ,Estados Unidos,34141.0,7.6,9
Paramount Pictures,Fuga de Alcatraz ,Estados Unidos,34141.0,7.6,9
EMI Films,El cazador ,Estados Unidos,49808.0,8.0,9
Universal Pictures,El cazador ,Estados Unidos,49808.0,8.0,9
Universal Pictures,El cazador ,Estados Unidos,49808.0,8.0,9
Marianne Productions,El quimérico inquilino ,Francia,13806.0,7.5,9
Zanuck/Brown,Tiburón ,Estados Unidos,121946.0,7.1,9
Universal Pictures,Tiburón ,Estados Unidos,121946.0,7.1,9
Mosfilm,Dersu Uzala (El cazador) ,Unión Soviética (URSS),32992.0,8.3,9
Atelier 41,Dersu Uzala (El cazador) ,Unión Soviética (URSS),32992.0,8.3,9
Universal Pictures,Primera plana ,Estados Unidos,25474.0,8.1,9
Coppola Co. Production,El padrino. Parte II ,Estados Unidos,138773.0,8.9,9
Francis Ford Coppola,El padrino. Parte II ,Estados Unidos,138773.0,8.9,9
Paramount Pictures,El padrino. Parte II ,Estados Unidos,138773.0,8.9,9
Robert Evans Company,Chinatown ,Estados Unidos,46614.0,7.9,9
Paramount Pictures,Chinatown ,Estados Unidos,46614.0,7.9,9
Paramount Pictures,El padrino ,Estados Unidos,173966.0,9.0,9
Alfran Productions,El padrino ,Estados Unidos,173966.0,9.0,9
Albert S. Ruddy,El padrino ,Estados Unidos,173966.0,9.0,9
Warner Bros.,La naranja mecánica ,Reino Unido,168088.0,8.2,9
Hawk Films,La naranja mecánica ,Reino Unido,168088.0,8.2,9
20th Century Fox,El planeta de los simios ,Estados Unidos,57106.0,7.5,9
William Castle Productions,La semilla del diablo ,Estados Unidos,62297.0,7.7,9
Paramount Pictures,La semilla del diablo ,Estados Unidos,62297.0,7.7,9
Columbia Pictures,¿Teléfono rojo? Volamos hacia Moscú ,Reino Unido,48369.0,7.9,9
Hawk Films,¿Teléfono rojo? Volamos hacia Moscú ,Reino Unido,48369.0,7.9,9
Cineriz,"Fellini, ocho y medio (8½) ",Italia,21166.0,8.0,9
Francinex,"Fellini, ocho y medio (8½) ",Italia,21166.0,8.0,9
United Artists,El hombre de Alcatraz ,Estados Unidos,6889.0,7.9,9
United Artists,La calumnia ,Estados Unidos,7875.0,7.8,9
20th Century Fox,Suspense ,Reino Unido,8973.0,7.7,9
Universal Pictures,Sed de mal ,Estados Unidos,30266.0,8.2,9
Avon Productions,La gata sobre el tejado de zinc ,Estados Unidos,21954.0,8.0,9
Metro-Goldwyn-Mayer (MGM),La gata sobre el tejado de zinc ,Estados Unidos,21954.0,8.0,9
Metro-Goldwyn-Mayer (MGM),La gata sobre el tejado de zinc ,Estados Unidos,21954.0,8.0,9
United Artists,Testigo de cargo ,Estados Unidos,44594.0,8.6,9
Svensk Filmindustri (SF),Fresas salvajes ,Suecia,21492.0,8.1,9
20th Century Fox,Eva al desnudo ,Estados Unidos,35552.0,8.4,9
Darryl F. Zanuck,Eva al desnudo ,Estados Unidos,35552.0,8.4,9
Paramount Pictures,El crepúsculo de los dioses ,Estados Unidos,47192.0,8.5,9
London Films,El tercer hombre ,Reino Unido,44457.0,8.2,9
Alexander Korda,El tercer hombre ,Reino Unido,44457.0,8.2,9
David O. Selznick,El tercer hombre ,Reino Unido,44457.0,8.2,9
Warner Bros.,La soga ,Estados Unidos,36398.0,8.1,9
Transatlantic Pictures,La soga ,Estados Unidos,36398.0,8.1,9
RKO Radio Pictures,Encadenados ,Estados Unidos,20536.0,8.1,9
Liberty Films Inc,¡Qué bello es vivir! ,Estados Unidos,53788.0,8.2,9
RKO Radio Pictures,¡Qué bello es vivir! ,Estados Unidos,53788.0,8.2,9
Universal Pictures,Perversidad ,Estados Unidos,14087.0,8.2,9
Walter Wanger Productions,Perversidad ,Estados Unidos,14087.0,8.2,9
Universal Pictures,Perversidad ,Estados Unidos,14087.0,8.2,9
Romaine Film,Ser o no ser ,Estados Unidos,35358.0,8.5,9
Alexander Korda,Ser o no ser ,Estados Unidos,35358.0,8.5,9
United Artists,El gran dictador ,Estados Unidos,85648.0,8.6,9
Selznick International Pictures,Rebeca ,Estados Unidos,37621.0,8.2,9
United Artists,Tiempos modernos ,Estados Unidos,63134.0,8.6,9
Columbia Pictures,Sucedió una noche ,Estados Unidos,17158.0,7.9,9
Decla Film,El gabinete del doctor Caligari ,Alemania,20389.0,8.1,9
Elevation Pictures,Infinity Pool ,Canadá,1056.0,6.1,8
Film Forge Productions,Infinity Pool ,Canadá,1056.0,6.1,8
4 Film,Infinity Pool ,Canadá,1056.0,6.1,8
Hero Squared,Infinity Pool ,Canadá,1056.0,6.1,8
Celluloid Dreams,Infinity Pool ,Canadá,1056.0,6.1,8
Croatian Film Association,Infinity Pool ,Canadá,1056.0,6.1,8
First Look,Infinity Pool ,Canadá,1056.0,6.1,8
Téléfilm Canada,Infinity Pool ,Canadá,1056.0,6.1,8
Eurimages,Infinity Pool ,Canadá,1056.0,6.1,8
Neon,Infinity Pool ,Canadá,1056.0,6.1,8
Amblin Partners,Los Fabelman ,Estados Unidos,8194.0,7.2,8
Universal Pictures,Los Fabelman ,Estados Unidos,8194.0,7.2,8
Amblin Entertainment,Los Fabelman ,Estados Unidos,8194.0,7.2,8
Universal Pictures,Los Fabelman ,Estados Unidos,8194.0,7.2,8
Arcadia Motion Pictures,As bestas ,España,26450.0,7.7,8
Caballo Films,As bestas ,España,26450.0,7.7,8
Cronos Entertainment AIE,As bestas ,España,26450.0,7.7,8
Le Pacte,As bestas ,España,26450.0,7.7,8
RTVE,As bestas ,España,26450.0,7.7,8
Movistar Plus+,As bestas ,España,26450.0,7.7,8
Canal+,As bestas ,España,26450.0,7.7,8
Ciné+,As bestas ,España,26450.0,7.7,8
A24,Todo a la vez en todas partes ,Estados Unidos,23572.0,6.6,8
AGBO,Todo a la vez en todas partes ,Estados Unidos,23572.0,6.6,8
Hotdog Hands,Todo a la vez en todas partes ,Estados Unidos,23572.0,6.6,8
Ley Line Entertainment,Todo a la vez en todas partes ,Estados Unidos,23572.0,6.6,8
Year of The Rat,Todo a la vez en todas partes ,Estados Unidos,23572.0,6.6,8
IAC Films,Todo a la vez en todas partes ,Estados Unidos,23572.0,6.6,8
A24,Todo a la vez en todas partes ,Estados Unidos,23572.0,6.6,8
Double Dare You,El gabinete de curiosidades: La autopsia (TV),Estados Unidos,3241.0,6.5,8
Exile Entertainment,El gabinete de curiosidades: La autopsia (TV),Estados Unidos,3241.0,6.5,8
Guillermo del Toro,El gabinete de curiosidades: La autopsia (TV),Estados Unidos,3241.0,6.5,8
Netflix,El gabinete de curiosidades: La autopsia (TV),Estados Unidos,3241.0,6.5,8
Morena Films,Cerdita ,España,7756.0,5.8,8
La Banque Postale Image,Cerdita ,España,7756.0,5.8,8
Indéfilms,Cerdita ,España,7756.0,5.8,8
Regency Television,El hombre del norte ,Estados Unidos,18778.0,6.5,8
Focus Features,El hombre del norte ,Estados Unidos,18778.0,6.5,8
Focus Features,El hombre del norte ,Estados Unidos,18778.0,6.5,8
MGM Television,Miércoles (Serie de TV),Estados Unidos,10939.0,6.7,8
Millar Gough Ink,Miércoles (Serie de TV),Estados Unidos,10939.0,6.7,8
Glickmania,Miércoles (Serie de TV),Estados Unidos,10939.0,6.7,8
Tim Burton Productions,Miércoles (Serie de TV),Estados Unidos,10939.0,6.7,8
Toluca Pictures,Miércoles (Serie de TV),Estados Unidos,10939.0,6.7,8
Netflix,Miércoles (Serie de TV),Estados Unidos,10939.0,6.7,8
Netflix,Miércoles (Serie de TV),Estados Unidos,10939.0,6.7,8
Diaphana Distribution,La cumbre de los dioses ,Francia,2824.0,7.2,8
France 3 Cinéma,La cumbre de los dioses ,Francia,2824.0,7.2,8
Julianne Films,La cumbre de los dioses ,Francia,2824.0,7.2,8
Folivari,La cumbre de los dioses ,Francia,2824.0,7.2,8
Mélusine Productions,La cumbre de los dioses ,Francia,2824.0,7.2,8
Netflix,La cumbre de los dioses ,Francia,2824.0,7.2,8
Kowalski Films,Maixabel ,España,12495.0,7.2,8
Feel good Media,Maixabel ,España,12495.0,7.2,8
ETB,Maixabel ,España,12495.0,7.2,8
