directores,titulo,pais,votos,votacion,nota
Rob Minkoff,El rey león ,Estados Unidos,161434.0,7.9,10
Roger Allers,El rey león ,Estados Unidos,161434.0,7.9,10
David Crane,Friends (Serie de TV),Estados Unidos,142317.0,8.2,10
Marta Kauffman,Friends (Serie de TV),Estados Unidos,142317.0,8.2,10
Gary Halvorson,Friends (Serie de TV),Estados Unidos,142317.0,8.2,10
Kevin Bright,Friends (Serie de TV),Estados Unidos,142317.0,8.2,10
Michael Lembeck,Friends (Serie de TV),Estados Unidos,142317.0,8.2,10
James Burrows,Friends (Serie de TV),Estados Unidos,142317.0,8.2,10
Gail Mancuso,Friends (Serie de TV),Estados Unidos,142317.0,8.2,10
Peter Bonerz,Friends (Serie de TV),Estados Unidos,142317.0,8.2,10
David Schwimmer,Friends (Serie de TV),Estados Unidos,142317.0,8.2,10
Ben Weiss,Friends (Serie de TV),Estados Unidos,142317.0,8.2,10
Robby Benson,Friends (Serie de TV),Estados Unidos,142317.0,8.2,10
Shelley Jensen,Friends (Serie de TV),Estados Unidos,142317.0,8.2,10
Terry Hughes,Friends (Serie de TV),Estados Unidos,142317.0,8.2,10
Dana De Vally Piazza,Friends (Serie de TV),Estados Unidos,142317.0,8.2,10
Sheldon Epps,Friends (Serie de TV),Estados Unidos,142317.0,8.2,10
Pamela Fryman,Friends (Serie de TV),Estados Unidos,142317.0,8.2,10
Alan Myerson,Friends (Serie de TV),Estados Unidos,142317.0,8.2,10
Thomas Schlamme,Friends (Serie de TV),Estados Unidos,142317.0,8.2,10
Steve Zuckerman,Friends (Serie de TV),Estados Unidos,142317.0,8.2,10
Roger Christiansen,Friends (Serie de TV),Estados Unidos,142317.0,8.2,10
Paul Lazarus,Friends (Serie de TV),Estados Unidos,142317.0,8.2,10
Ellen Falcon,Friends (Serie de TV),Estados Unidos,142317.0,8.2,10
Sam Simon,Friends (Serie de TV),Estados Unidos,142317.0,8.2,10
Arlene Sanford,Friends (Serie de TV),Estados Unidos,142317.0,8.2,10
Joe Regalbuto,Friends (Serie de TV),Estados Unidos,142317.0,8.2,10
Todd Holland,Friends (Serie de TV),Estados Unidos,142317.0,8.2,10
Stephen Prime,Friends (Serie de TV),Estados Unidos,142317.0,8.2,10
Andrew Tsao,Friends (Serie de TV),Estados Unidos,142317.0,8.2,10
David Steinberg,Friends (Serie de TV),Estados Unidos,142317.0,8.2,10
Mary Kay Place,Friends (Serie de TV),Estados Unidos,142317.0,8.2,10
Steven Spielberg,La lista de Schindler ,Estados Unidos,174298.0,8.6,10
Stanley Kubrick,La chaqueta metálica ,Reino Unido,122457.0,8.2,10
Ridley Scott,Blade Runner ,Estados Unidos,136125.0,8.1,10
David Lynch,El hombre elefante ,Estados Unidos,42610.0,8.1,10
Stanley Kubrick,2001: Una odisea del espacio ,Reino Unido,114863.0,7.8,10
Robert Mulligan,Matar a un ruiseñor ,Estados Unidos,48608.0,8.3,10
Alfred Hitchcock,Psicosis ,Estados Unidos,108789.0,8.4,10
