generos,titulo,votos,votacion,nota
Drama,El hijo de la novia ,54934.0,7.7,7
Comedia,El hijo de la novia ,54934.0,7.7,7
Alzheimer,El hijo de la novia ,54934.0,7.7,7
Vejez / Madurez,El hijo de la novia ,54934.0,7.7,7
Familia,El hijo de la novia ,54934.0,7.7,7
Bodas,El hijo de la novia ,54934.0,7.7,7
Discapacidad,El hijo de la novia ,54934.0,7.7,7
Thriller,Ocean's Eleven: Hagan juego ,91099.0,7.2,7
Intriga,Ocean's Eleven: Hagan juego ,91099.0,7.2,7
Remake,Ocean's Eleven: Hagan juego ,91099.0,7.2,7
Juego,Ocean's Eleven: Hagan juego ,91099.0,7.2,7
Crimen,Ocean's Eleven: Hagan juego ,91099.0,7.2,7
Robos & Atracos,Ocean's Eleven: Hagan juego ,91099.0,7.2,7
Documental,2001: The Making of a Myth ,175.0,6.5,7
Documental sobre cine,2001: The Making of a Myth ,175.0,6.5,7
Mediometraje,2001: The Making of a Myth ,175.0,6.5,7
Animación,El viaje de Chihiro ,112553.0,8.1,7
Fantástico,El viaje de Chihiro ,112553.0,8.1,7
Aventuras,El viaje de Chihiro ,112553.0,8.1,7
Dragones,El viaje de Chihiro ,112553.0,8.1,7
Película de culto,El viaje de Chihiro ,112553.0,8.1,7
Documental,Nómadas del viento ,4648.0,7.5,7
Naturaleza,Nómadas del viento ,4648.0,7.5,7
Animales,Nómadas del viento ,4648.0,7.5,7
Aves / Pájaros,Nómadas del viento ,4648.0,7.5,7
Thriller,Traffic ,62930.0,7.1,7
Drama,Traffic ,62930.0,7.1,7
Drogas,Traffic ,62930.0,7.1,7
Crimen,Traffic ,62930.0,7.1,7
Historias cruzadas,Traffic ,62930.0,7.1,7
Remake,Traffic ,62930.0,7.1,7
Acción,Gladiator ,186431.0,7.9,7
Aventuras,Gladiator ,186431.0,7.9,7
Drama,Gladiator ,186431.0,7.9,7
Antigua Roma,Gladiator ,186431.0,7.9,7
Esclavitud,Gladiator ,186431.0,7.9,7
Venganza,Gladiator ,186431.0,7.9,7
Cine épico,Gladiator ,186431.0,7.9,7
Serie de TV,El décimo reino (Miniserie de TV),1235.0,7.1,7
Fantástico,El décimo reino (Miniserie de TV),1235.0,7.1,7
Aventuras,El décimo reino (Miniserie de TV),1235.0,7.1,7
Miniserie de TV,El décimo reino (Miniserie de TV),1235.0,7.1,7
Espada y brujería,El décimo reino (Miniserie de TV),1235.0,7.1,7
Romance,El bar Coyote ,32809.0,4.9,7
Drama,El bar Coyote ,32809.0,4.9,7
Drama romántico,El bar Coyote ,32809.0,4.9,7
Música,El bar Coyote ,32809.0,4.9,7
Comedia,Los padres de ella ,61943.0,6.6,7
Familia,Los padres de ella ,61943.0,6.6,7
Remake,Los padres de ella ,61943.0,6.6,7
Acción,Tigre y dragón ,61968.0,7.0,7
Romance,Tigre y dragón ,61968.0,7.0,7
Drama,Tigre y dragón ,61968.0,7.0,7
Artes marciales,Tigre y dragón ,61968.0,7.0,7
Wuxia,Tigre y dragón ,61968.0,7.0,7
Siglo XIX,Tigre y dragón ,61968.0,7.0,7
Drama,El bola ,44227.0,7.0,7
Drama social,El bola ,44227.0,7.0,7
Adolescencia,El bola ,44227.0,7.0,7
Amistad,El bola ,44227.0,7.0,7
Familia,El bola ,44227.0,7.0,7
Fantástico,Frequency ,28453.0,6.4,7
Thriller,Frequency ,28453.0,6.4,7
Asesinos en serie,Frequency ,28453.0,6.4,7
Crimen,Frequency ,28453.0,6.4,7
Años 60,Frequency ,28453.0,6.4,7
Bomberos,Frequency ,28453.0,6.4,7
Comedia,Snatch. Cerdos y diamantes ,135513.0,7.9,7
Comedia negra,Snatch. Cerdos y diamantes ,135513.0,7.9,7
Crimen,Snatch. Cerdos y diamantes ,135513.0,7.9,7
Mafia,Snatch. Cerdos y diamantes ,135513.0,7.9,7
Robos & Atracos,Snatch. Cerdos y diamantes ,135513.0,7.9,7
Película de culto,Snatch. Cerdos y diamantes ,135513.0,7.9,7
Historias cruzadas,Snatch. Cerdos y diamantes ,135513.0,7.9,7
Thriller,Nueve reinas ,73472.0,7.8,7
Intriga,Nueve reinas ,73472.0,7.8,7
Drama,Nueve reinas ,73472.0,7.8,7
Robos & Atracos,Nueve reinas ,73472.0,7.8,7
Película de culto,Nueve reinas ,73472.0,7.8,7
Drama,Descubriendo a Forrester ,18432.0,6.7,7
Amistad,Descubriendo a Forrester ,18432.0,6.7,7
Enseñanza,Descubriendo a Forrester ,18432.0,6.7,7
Literatura,Descubriendo a Forrester ,18432.0,6.7,7
Comedia,La comunidad ,50067.0,6.9,7
Terror,La comunidad ,50067.0,6.9,7
Thriller,La comunidad ,50067.0,6.9,7
Intriga,La comunidad ,50067.0,6.9,7
Crimen,La comunidad ,50067.0,6.9,7
Comedia negra,La comunidad ,50067.0,6.9,7
Comedia de terror,La comunidad ,50067.0,6.9,7
Thriller,Memento ,146979.0,7.8,7
Intriga,Memento ,146979.0,7.8,7
Crimen,Memento ,146979.0,7.8,7
Venganza,Memento ,146979.0,7.8,7
Neo-noir,Memento ,146979.0,7.8,7
Película de culto,Memento ,146979.0,7.8,7
Cine independiente USA,Memento ,146979.0,7.8,7
Animación,Tarzán ,35270.0,6.8,7
Aventuras,Tarzán ,35270.0,6.8,7
Drama,Tarzán ,35270.0,6.8,7
África,Tarzán ,35270.0,6.8,7
Naturaleza,Tarzán ,35270.0,6.8,7
Simios,Tarzán ,35270.0,6.8,7
Animales,Tarzán ,35270.0,6.8,7
Drama,Solas ,25777.0,7.6,7
Drama social,Solas ,25777.0,7.6,7
Alcoholismo,Solas ,25777.0,7.6,7
Serie de TV,Padre de familia (Serie de TV),105718.0,7.5,7
Animación,Padre de familia (Serie de TV),105718.0,7.5,7
Comedia,Padre de familia (Serie de TV),105718.0,7.5,7
Sátira,Padre de familia (Serie de TV),105718.0,7.5,7
Comedia negra,Padre de familia (Serie de TV),105718.0,7.5,7
Animación para adultos,Padre de familia (Serie de TV),105718.0,7.5,7
Comedia absurda,Padre de familia (Serie de TV),105718.0,7.5,7
Ciencia ficción,Star Wars. Episodio I: La amenaza fantasma ,103474.0,6.2,7
Aventuras,Star Wars. Episodio I: La amenaza fantasma ,103474.0,6.2,7
Precuela,Star Wars. Episodio I: La amenaza fantasma ,103474.0,6.2,7
Star Wars,Star Wars. Episodio I: La amenaza fantasma ,103474.0,6.2,7
Ciencia ficción,Cómo ser John Malkovich ,53300.0,7.3,7
Comedia,Cómo ser John Malkovich ,53300.0,7.3,7
Fantástico,Cómo ser John Malkovich ,53300.0,7.3,7
Surrealismo,Cómo ser John Malkovich ,53300.0,7.3,7
Película de culto,Cómo ser John Malkovich ,53300.0,7.3,7
Animación,Fantasía 2000 ,8428.0,6.8,7
Musical,Fantasía 2000 ,8428.0,6.8,7
Fantástico,Fantasía 2000 ,8428.0,6.8,7
Infantil,Fantasía 2000 ,8428.0,6.8,7
Mickey Mouse,Fantasía 2000 ,8428.0,6.8,7
Pato Donald,Fantasía 2000 ,8428.0,6.8,7
Película de episodios,Fantasía 2000 ,8428.0,6.8,7
Música,Fantasía 2000 ,8428.0,6.8,7
Comedia,10 razones para odiarte ,21607.0,5.9,7
Romance,10 razones para odiarte ,21607.0,5.9,7
Adolescencia,10 razones para odiarte ,21607.0,5.9,7
Comedia juvenil,10 razones para odiarte ,21607.0,5.9,7
Comedia romántica,10 razones para odiarte ,21607.0,5.9,7
Colegios & Universidad,10 razones para odiarte ,21607.0,5.9,7
Drama,La lengua de las mariposas ,47193.0,7.5,7
Años 30,La lengua de las mariposas ,47193.0,7.5,7
Infancia,La lengua de las mariposas ,47193.0,7.5,7
Enseñanza,La lengua de las mariposas ,47193.0,7.5,7
Colegios & Universidad,La lengua de las mariposas ,47193.0,7.5,7
Intriga,La novena puerta ,29280.0,5.8,7
Thriller,La novena puerta ,29280.0,5.8,7
Literatura,La novena puerta ,29280.0,5.8,7
Sobrenatural,La novena puerta ,29280.0,5.8,7
Thriller,Un plan sencillo ,9537.0,7.0,7
Intriga,Un plan sencillo ,9537.0,7.0,7
Crimen,Un plan sencillo ,9537.0,7.0,7
Vida rural (Norteamérica),Un plan sencillo ,9537.0,7.0,7
Intriga,"Pi, fe en el caos ",30434.0,6.7,7
Fantástico,"Pi, fe en el caos ",30434.0,6.7,7
Drama,"Pi, fe en el caos ",30434.0,6.7,7
Película de culto,"Pi, fe en el caos ",30434.0,6.7,7
Cine independiente USA,"Pi, fe en el caos ",30434.0,6.7,7
Thriller psicológico,"Pi, fe en el caos ",30434.0,6.7,7
Matemáticas,"Pi, fe en el caos ",30434.0,6.7,7
Animación,"Bichos, una aventura en miniatura ",87682.0,6.7,7
Aventuras,"Bichos, una aventura en miniatura ",87682.0,6.7,7
Comedia,"Bichos, una aventura en miniatura ",87682.0,6.7,7
Infantil,"Bichos, una aventura en miniatura ",87682.0,6.7,7
Insectos,"Bichos, una aventura en miniatura ",87682.0,6.7,7
Pixar,"Bichos, una aventura en miniatura ",87682.0,6.7,7
Cine familiar,"Bichos, una aventura en miniatura ",87682.0,6.7,7
Animación,Billy's Balloon (C),1700.0,6.1,7
Comedia,Billy's Balloon (C),1700.0,6.1,7
Terror,Billy's Balloon (C),1700.0,6.1,7
Comedia negra,Billy's Balloon (C),1700.0,6.1,7
Comedia de terror,Billy's Balloon (C),1700.0,6.1,7
Comedia absurda,Billy's Balloon (C),1700.0,6.1,7
Animación para adultos,Billy's Balloon (C),1700.0,6.1,7
Cortometraje (animación),Billy's Balloon (C),1700.0,6.1,7
Thriller,Lock & Stock ,61499.0,7.8,7
Crimen,Lock & Stock ,61499.0,7.8,7
Mafia,Lock & Stock ,61499.0,7.8,7
Comedia negra,Lock & Stock ,61499.0,7.8,7
Neo-noir,Lock & Stock ,61499.0,7.8,7
Robos & Atracos,Lock & Stock ,61499.0,7.8,7
Película de culto,Lock & Stock ,61499.0,7.8,7
Animación,Mulan ,85932.0,6.7,7
Aventuras,Mulan ,85932.0,6.7,7
Acción,Mulan ,85932.0,6.7,7
Comedia,Mulan ,85932.0,6.7,7
Musical,Mulan ,85932.0,6.7,7
Dragones,Mulan ,85932.0,6.7,7
Cine épico,Mulan ,85932.0,6.7,7
Ciencia ficción,Starship Troopers: Las brigadas del espacio ,32012.0,6.0,7
Fantástico,Starship Troopers: Las brigadas del espacio ,32012.0,6.0,7
Acción,Starship Troopers: Las brigadas del espacio ,32012.0,6.0,7
Sátira,Starship Troopers: Las brigadas del espacio ,32012.0,6.0,7
Extraterrestres,Starship Troopers: Las brigadas del espacio ,32012.0,6.0,7
Monstruos,Starship Troopers: Las brigadas del espacio ,32012.0,6.0,7
Película de culto,Starship Troopers: Las brigadas del espacio ,32012.0,6.0,7
Serie de TV,Pokémon (Serie de TV),29459.0,5.1,7
Animación,Pokémon (Serie de TV),29459.0,5.1,7
Aventuras,Pokémon (Serie de TV),29459.0,5.1,7
Fantástico,Pokémon (Serie de TV),29459.0,5.1,7
Comedia,Pokémon (Serie de TV),29459.0,5.1,7
Infantil,Pokémon (Serie de TV),29459.0,5.1,7
Amistad,Pokémon (Serie de TV),29459.0,5.1,7
Videojuego,Pokémon (Serie de TV),29459.0,5.1,7
Pokémon,Pokémon (Serie de TV),29459.0,5.1,7
Drama,El indomable Will Hunting ,105140.0,7.5,7
Romance,El indomable Will Hunting ,105140.0,7.5,7
Enseñanza,El indomable Will Hunting ,105140.0,7.5,7
Amistad,El indomable Will Hunting ,105140.0,7.5,7
Matemáticas,El indomable Will Hunting ,105140.0,7.5,7
Intriga,The Game ,80443.0,7.2,7
Thriller,The Game ,80443.0,7.2,7
Thriller psicológico,The Game ,80443.0,7.2,7
Serie de TV,La banda del patio (Serie de TV),15753.0,6.2,7
Animación,La banda del patio (Serie de TV),15753.0,6.2,7
Comedia,La banda del patio (Serie de TV),15753.0,6.2,7
Infantil,La banda del patio (Serie de TV),15753.0,6.2,7
Colegios & Universidad,La banda del patio (Serie de TV),15753.0,6.2,7
Adolescencia,La banda del patio (Serie de TV),15753.0,6.2,7
Animación,La princesa Mononoke ,69528.0,8.0,7
Fantástico,La princesa Mononoke ,69528.0,8.0,7
Aventuras,La princesa Mononoke ,69528.0,8.0,7
Animación para adultos,La princesa Mononoke ,69528.0,8.0,7
Cine épico,La princesa Mononoke ,69528.0,8.0,7
Animales,La princesa Mononoke ,69528.0,8.0,7
Naturaleza,La princesa Mononoke ,69528.0,8.0,7
Ciencia ficción,Gattaca ,87366.0,7.3,7
Intriga,Gattaca ,87366.0,7.3,7
Distopía,Gattaca ,87366.0,7.3,7
Película de culto,Gattaca ,87366.0,7.3,7
Drama,Secretos del corazón ,9369.0,6.9,7
Posguerra española,Secretos del corazón ,9369.0,6.9,7
Vida rural,Secretos del corazón ,9369.0,6.9,7
Intriga,Poder absoluto ,18700.0,6.8,7
Thriller,Poder absoluto ,18700.0,6.8,7
Drama,Poder absoluto ,18700.0,6.8,7
Crimen,Poder absoluto ,18700.0,6.8,7
Animación,James y el melocotón gigante ,9581.0,6.4,7
Fantástico,James y el melocotón gigante ,9581.0,6.4,7
Aventuras,James y el melocotón gigante ,9581.0,6.4,7
Musical,James y el melocotón gigante ,9581.0,6.4,7
Infantil,James y el melocotón gigante ,9581.0,6.4,7
Stop Motion,James y el melocotón gigante ,9581.0,6.4,7
Insectos,James y el melocotón gigante ,9581.0,6.4,7
Thriller,Fargo ,99825.0,7.8,7
Intriga,Fargo ,99825.0,7.8,7
Crimen,Fargo ,99825.0,7.8,7
Neo-noir,Fargo ,99825.0,7.8,7
Comedia negra,Fargo ,99825.0,7.8,7
Vida rural (Norteamérica),Fargo ,99825.0,7.8,7
Años 80,Fargo ,99825.0,7.8,7
Secuestros / Desapariciones,Fargo ,99825.0,7.8,7
Zonas frías/polares,Fargo ,99825.0,7.8,7
Intriga,Tesis ,95573.0,7.7,7
Thriller,Tesis ,95573.0,7.7,7
Cine dentro del cine,Tesis ,95573.0,7.7,7
Colegios & Universidad,Tesis ,95573.0,7.7,7
Asesinos en serie,Tesis ,95573.0,7.7,7
Secuestros / Desapariciones,Tesis ,95573.0,7.7,7
Película de culto,Tesis ,95573.0,7.7,7
Drama,Volando libre ,3446.0,5.3,7
Familia,Volando libre ,3446.0,5.3,7
Animales,Volando libre ,3446.0,5.3,7
Naturaleza,Volando libre ,3446.0,5.3,7
Romance,Antes de amanecer ,44060.0,7.4,7
Drama,Antes de amanecer ,44060.0,7.4,7
Drama romántico,Antes de amanecer ,44060.0,7.4,7
Cine independiente USA,Antes de amanecer ,44060.0,7.4,7
Aventuras,Liberad a Willy 2 ,6692.0,3.9,7
Cine familiar,Liberad a Willy 2 ,6692.0,3.9,7
Animales,Liberad a Willy 2 ,6692.0,3.9,7
Orcas / Ballenas,Liberad a Willy 2 ,6692.0,3.9,7
Secuela,Liberad a Willy 2 ,6692.0,3.9,7
Thriller,Casino ,78066.0,8.1,7
Drama,Casino ,78066.0,8.1,7
Mafia,Casino ,78066.0,8.1,7
Crimen,Casino ,78066.0,8.1,7
Juego,Casino ,78066.0,8.1,7
Años 70,Casino ,78066.0,8.1,7
Años 80,Casino ,78066.0,8.1,7
Animación,Pocahontas ,85979.0,6.0,7
Romance,Pocahontas ,85979.0,6.0,7
Musical,Pocahontas ,85979.0,6.0,7
Aventuras,Pocahontas ,85979.0,6.0,7
Infantil,Pocahontas ,85979.0,6.0,7
Conquista de América,Pocahontas ,85979.0,6.0,7
Siglo XVII,Pocahontas ,85979.0,6.0,7
Comedia,El día de la bestia ,73617.0,7.1,7
Acción,El día de la bestia ,73617.0,7.1,7
Fantástico,El día de la bestia ,73617.0,7.1,7
Terror,El día de la bestia ,73617.0,7.1,7
Navidad,El día de la bestia ,73617.0,7.1,7
Comedia de terror,El día de la bestia ,73617.0,7.1,7
Película de culto,El día de la bestia ,73617.0,7.1,7
