productores,titulo,votos,votacion,nota
YouTube,Happiness (C),1535.0,7.2,9
Blumhouse Productions,Déjame salir ,46362.0,6.8,9
QC Entertainment,Déjame salir ,46362.0,6.8,9
Pixar Animation Studios,Coco ,52789.0,8.0,9
Walt Disney Pictures,Coco ,52789.0,8.0,9
Netflix,Stranger Things (Serie de TV),62495.0,7.8,9
21 Laps Entertainment,Stranger Things (Serie de TV),62495.0,7.8,9
Netflix,Stranger Things (Serie de TV),62495.0,7.8,9
Bitter Films,World of Tomorrow (C),1441.0,7.2,9
DNA Films,Ex Machina ,52678.0,7.1,9
Film4 Productions,Ex Machina ,52678.0,7.1,9
Universal Pictures,Ex Machina ,52678.0,7.1,9
Warner Bros.,Interstellar ,101097.0,7.9,9
Syncopy Production,Interstellar ,101097.0,7.9,9
Paramount Pictures,Interstellar ,101097.0,7.9,9
Legendary Pictures,Interstellar ,101097.0,7.9,9
Lynda Obst Productions,Interstellar ,101097.0,7.9,9
Northern Lights Films,It Follows ,25499.0,6.3,9
Animal Kingdom,It Follows ,25499.0,6.3,9
Two Flints,It Follows ,25499.0,6.3,9
Indigo Film,La gran belleza ,36800.0,7.4,9
Medusa Produzione,La gran belleza ,36800.0,7.4,9
Pathé,La gran belleza ,36800.0,7.4,9
France 2 Cinema,La gran belleza ,36800.0,7.4,9
Babe Film,La gran belleza ,36800.0,7.4,9
Canal+,La gran belleza ,36800.0,7.4,9
Mediaset,La gran belleza ,36800.0,7.4,9
Fox Searchlight,Stoker ,27159.0,6.6,9
Scott Free Productions,Stoker ,27159.0,6.6,9
Starburns Industries,Rick y Morty (Serie de TV),30732.0,8.3,9
Green Portal Productions,Rick y Morty (Serie de TV),30732.0,8.3,9
Harmonius Claptrap,Rick y Morty (Serie de TV),30732.0,8.3,9
"""Justin Roiland's Solo Vanity Card Productions""",Rick y Morty (Serie de TV),30732.0,8.3,9
Williams Street,Rick y Morty (Serie de TV),30732.0,8.3,9
Adult Swim,Rick y Morty (Serie de TV),30732.0,8.3,9
Annapurna Pictures,Her ,77359.0,7.5,9
Stage 6 Films,Her ,77359.0,7.5,9
Warner Bros.,Her ,77359.0,7.5,9
Studio Ghibli,El cuento de la princesa Kaguya ,9035.0,7.6,9
Bellanova Films,Coherence ,33886.0,7.1,9
Ugly Duckling Films,Coherence ,33886.0,7.1,9
Bitter Films,It's Such a Beautiful Day (C),1368.0,7.5,9
Paramount Pictures,Shutter Island ,125011.0,7.6,9
Phoenix Pictures,Shutter Island ,125011.0,7.6,9
Sikelia Productions,Shutter Island ,125011.0,7.6,9
Appian Way,Shutter Island ,125011.0,7.6,9
Martin Scorsese,Shutter Island ,125011.0,7.6,9
Fox Searchlight,Cisne negro ,116245.0,7.6,9
Cross Creek Pictures,Cisne negro ,116245.0,7.6,9
Protozoa Pictures,Cisne negro ,116245.0,7.6,9
Phoenix Pictures,Cisne negro ,116245.0,7.6,9
Dune Entertainment,Cisne negro ,116245.0,7.6,9
Fox Searchlight,Cisne negro ,116245.0,7.6,9
The Animation Workshop,El evangelio de Backwater (C),1424.0,7.0,9
Warner Bros.,Origen ,156576.0,8.0,9
Legendary Pictures,Origen ,156576.0,8.0,9
Syncopy Production,Origen ,156576.0,8.0,9
Warner Bros.,Origen ,156576.0,8.0,9
Sony Pictures Classics,Moon ,52864.0,7.1,9
Liberty Films UK,Moon ,52864.0,7.1,9
Fox Searchlight,Slumdog Millionaire ,136598.0,7.7,9
Celador Films,Slumdog Millionaire ,136598.0,7.7,9
Film4 Productions,Slumdog Millionaire ,136598.0,7.7,9
Pathé,Slumdog Millionaire ,136598.0,7.7,9
Warner Independent,Slumdog Millionaire ,136598.0,7.7,9
Warner Bros.,Gran Torino ,146335.0,8.2,9
Village Roadshow,Gran Torino ,146335.0,8.2,9
Malpaso Productions,Gran Torino ,146335.0,8.2,9
Double Nickel Entertainment,Gran Torino ,146335.0,8.2,9
Bitter Films,I Am So Proud of You (C),1087.0,7.3,9
Pixar Animation Studios,Ratatouille ,99514.0,7.3,9
Walt Disney Pictures,Ratatouille ,99514.0,7.3,9
Wiedemann & Berg Filmproduktion,La vida de los otros ,75445.0,8.0,9
Bayerischer Rundfunk (BR),La vida de los otros ,75445.0,8.0,9
arte,La vida de los otros ,75445.0,8.0,9
Creado Film,La vida de los otros ,75445.0,8.0,9
Bitter Films,Everything Will Be Ok (C),2063.0,7.0,9
BBC Film,Match Point ,120694.0,7.7,9
DreamWorks SKG,Match Point ,120694.0,7.7,9
Focus Features,¡Olvídate de mí! ,104272.0,7.6,9
Zentropa Productions,Dogville ,68434.0,7.5,9
Columbia Pictures,Big Fish ,130984.0,7.9,9
Zanuck Company,Big Fish ,130984.0,7.9,9
Jinks-Cohen Company,Big Fish ,130984.0,7.9,9
Columbia Pictures,Big Fish ,130984.0,7.9,9
HBO,The Wire (Bajo escucha) (Serie de TV),48467.0,8.8,9
O2 Filmes,Ciudad de Dios ,127594.0,8.4,9
VideoFilmes,Ciudad de Dios ,127594.0,8.4,9
Globo Filmes,Ciudad de Dios ,127594.0,8.4,9
Wild Bunch,Ciudad de Dios ,127594.0,8.4,9
Lumière,Ciudad de Dios ,127594.0,8.4,9
Studiocanal,Ciudad de Dios ,127594.0,8.4,9
Hank Levine Film,Ciudad de Dios ,127594.0,8.4,9
Lereby Produções,Ciudad de Dios ,127594.0,8.4,9
DreamWorks Animation,Shrek ,155549.0,7.7,9
DreamWorks SKG,Shrek ,155549.0,7.7,9
Pacific Data Images (PDI),Shrek ,155549.0,7.7,9
Flower Films,Donnie Darko ,80470.0,7.4,9
Pandora Cinema,Donnie Darko ,80470.0,7.4,9
Adam Fields Productions,Donnie Darko ,80470.0,7.4,9
Gaylord Films,Donnie Darko ,80470.0,7.4,9
Artisan Entertainment,Réquiem por un sueño ,121368.0,7.8,9
Thousand Words,Réquiem por un sueño ,121368.0,7.8,9
Sibling Productions,Réquiem por un sueño ,121368.0,7.8,9
Protozoa Pictures,Réquiem por un sueño ,121368.0,7.8,9
Industry Entertainment,Réquiem por un sueño ,121368.0,7.8,9
Bandeira Entertainment,Réquiem por un sueño ,121368.0,7.8,9
Truth and Soul Pictures,Réquiem por un sueño ,121368.0,7.8,9
El Deseo,Todo sobre mi madre ,76513.0,7.1,9
Renn Productions,Todo sobre mi madre ,76513.0,7.1,9
France 2 Cinema,Todo sobre mi madre ,76513.0,7.1,9
DreamWorks SKG,American Beauty ,170506.0,7.9,9
Fox 2000 Pictures,El club de la lucha ,186749.0,8.1,9
Regency Enterprises,El club de la lucha ,186749.0,8.1,9
Linson Films,El club de la lucha ,186749.0,8.1,9
Atman Entertainment,El club de la lucha ,186749.0,8.1,9
Knickerbocker Films,El club de la lucha ,186749.0,8.1,9
Taurus Film,El club de la lucha ,186749.0,8.1,9
Hollywood Pictures,El sexto sentido ,162349.0,7.6,9
Spyglass Entertainment,El sexto sentido ,162349.0,7.6,9
The Kennedy/Marshall Company,El sexto sentido ,162349.0,7.6,9
Barry Mendel Productions,El sexto sentido ,162349.0,7.6,9
Buena Vista Pictures,El sexto sentido ,162349.0,7.6,9
Warner Bros.,Eyes Wide Shut ,63630.0,6.8,9
Stanley Kubrick Production,Eyes Wide Shut ,63630.0,6.8,9
Hobby Films,Eyes Wide Shut ,63630.0,6.8,9
Pole Star,Eyes Wide Shut ,63630.0,6.8,9
New Line Cinema,American History X ,152158.0,8.3,9
Regency Enterprises,L.A. Confidential ,78370.0,7.7,9
The Wolper Organization,L.A. Confidential ,78370.0,7.7,9
Warner Bros.,L.A. Confidential ,78370.0,7.7,9
Warner Bros.,L.A. Confidential ,78370.0,7.7,9
Universal Pictures,12 monos ,119254.0,7.4,9
Castle Rock Entertainment,Cadena perpetua ,168504.0,8.6,9
Columbia Pictures,Cadena perpetua ,168504.0,8.6,9
Paramount Pictures,Forrest Gump ,201637.0,8.2,9
Capitol Films,La muerte y la doncella ,10208.0,7.3,9
Flach Film,La muerte y la doncella ,10208.0,7.3,9
Canal+,La muerte y la doncella ,10208.0,7.3,9
TF1 Films Production,La muerte y la doncella ,10208.0,7.3,9
New Line Cinema,En la boca del miedo ,10456.0,6.6,9
Pathé Entertainment,Thelma & Louise ,42382.0,7.2,9
Percy Main,Thelma & Louise ,42382.0,7.2,9
Metro-Goldwyn-Mayer (MGM),Thelma & Louise ,42382.0,7.2,9
Star Partners,Thelma & Louise ,42382.0,7.2,9
Metro-Goldwyn-Mayer (MGM),Thelma & Louise ,42382.0,7.2,9
Orion Pictures,El silencio de los corderos ,174287.0,8.2,9
Gracie Films,Los Simpson (Serie de TV),171507.0,8.6,9
20th Century Fox Television,Los Simpson (Serie de TV),171507.0,8.6,9
Film Roman,Los Simpson (Serie de TV),171507.0,8.6,9
The Curiosity Company,Los Simpson (Serie de TV),171507.0,8.6,9
Fox Television Animation,Los Simpson (Serie de TV),171507.0,8.6,9
FOX,Los Simpson (Serie de TV),171507.0,8.6,9
Les Films Ariane,Cinema Paradiso ,92235.0,8.3,9
Cristaldifilm,Cinema Paradiso ,92235.0,8.3,9
TF1 Films Production,Cinema Paradiso ,92235.0,8.3,9
RAI 3,Cinema Paradiso ,92235.0,8.3,9
Forum Picture,Cinema Paradiso ,92235.0,8.3,9
Studio Ghibli,La tumba de las luciérnagas ,40553.0,8.0,9
El Deseo,Mujeres al borde de un ataque de nervios ,50871.0,7.0,9
LaurenFilm S.A,Mujeres al borde de un ataque de nervios ,50871.0,7.0,9
Warner Bros.,Érase una vez en América ,57469.0,8.3,9
Arnon Milchan Production,Érase una vez en América ,57469.0,8.3,9
Walt Disney Productions,Vincent (C),20065.0,7.6,9
Buena Vista Distribution Company,Vincent (C),20065.0,7.6,9
Hawk Films,El resplandor ,147746.0,8.2,9
Peregrine,El resplandor ,147746.0,8.2,9
Warner Bros.,El resplandor ,147746.0,8.2,9
Producers Circle,El resplandor ,147746.0,8.2,9
Warner Bros.,El resplandor ,147746.0,8.2,9
AVCO Embassy Pictures,La niebla ,8395.0,6.2,9
EDI,La niebla ,8395.0,6.2,9
Debra Hill,La niebla ,8395.0,6.2,9
Zoetrope Studios,Apocalypse Now ,107140.0,8.2,9
United Artists,Apocalypse Now ,107140.0,8.2,9
Malpaso Productions,Fuga de Alcatraz ,34141.0,7.6,9
Paramount Pictures,Fuga de Alcatraz ,34141.0,7.6,9
Paramount Pictures,Fuga de Alcatraz ,34141.0,7.6,9
EMI Films,El cazador ,49808.0,8.0,9
Universal Pictures,El cazador ,49808.0,8.0,9
Universal Pictures,El cazador ,49808.0,8.0,9
Marianne Productions,El quimérico inquilino ,13806.0,7.5,9
Zanuck/Brown,Tiburón ,121946.0,7.1,9
Universal Pictures,Tiburón ,121946.0,7.1,9
Mosfilm,Dersu Uzala (El cazador) ,32992.0,8.3,9
Atelier 41,Dersu Uzala (El cazador) ,32992.0,8.3,9
Universal Pictures,Primera plana ,25474.0,8.1,9
Coppola Co. Production,El padrino. Parte II ,138773.0,8.9,9
Francis Ford Coppola,El padrino. Parte II ,138773.0,8.9,9
Paramount Pictures,El padrino. Parte II ,138773.0,8.9,9
Robert Evans Company,Chinatown ,46614.0,7.9,9
Paramount Pictures,Chinatown ,46614.0,7.9,9
Paramount Pictures,El padrino ,173966.0,9.0,9
Alfran Productions,El padrino ,173966.0,9.0,9
Albert S. Ruddy,El padrino ,173966.0,9.0,9
Warner Bros.,La naranja mecánica ,168088.0,8.2,9
Hawk Films,La naranja mecánica ,168088.0,8.2,9
20th Century Fox,El planeta de los simios ,57106.0,7.5,9
William Castle Productions,La semilla del diablo ,62297.0,7.7,9
Paramount Pictures,La semilla del diablo ,62297.0,7.7,9
Columbia Pictures,¿Teléfono rojo? Volamos hacia Moscú ,48369.0,7.9,9
Hawk Films,¿Teléfono rojo? Volamos hacia Moscú ,48369.0,7.9,9
Cineriz,"Fellini, ocho y medio (8½) ",21166.0,8.0,9
Francinex,"Fellini, ocho y medio (8½) ",21166.0,8.0,9
United Artists,El hombre de Alcatraz ,6889.0,7.9,9
United Artists,La calumnia ,7875.0,7.8,9
20th Century Fox,Suspense ,8973.0,7.7,9
Universal Pictures,Sed de mal ,30266.0,8.2,9
Avon Productions,La gata sobre el tejado de zinc ,21954.0,8.0,9
Metro-Goldwyn-Mayer (MGM),La gata sobre el tejado de zinc ,21954.0,8.0,9
Metro-Goldwyn-Mayer (MGM),La gata sobre el tejado de zinc ,21954.0,8.0,9
United Artists,Testigo de cargo ,44594.0,8.6,9
Svensk Filmindustri (SF),Fresas salvajes ,21492.0,8.1,9
20th Century Fox,Eva al desnudo ,35552.0,8.4,9
Darryl F. Zanuck,Eva al desnudo ,35552.0,8.4,9
Paramount Pictures,El crepúsculo de los dioses ,47192.0,8.5,9
London Films,El tercer hombre ,44457.0,8.2,9
Alexander Korda,El tercer hombre ,44457.0,8.2,9
David O. Selznick,El tercer hombre ,44457.0,8.2,9
Warner Bros.,La soga ,36398.0,8.1,9
Transatlantic Pictures,La soga ,36398.0,8.1,9
RKO Radio Pictures,Encadenados ,20536.0,8.1,9
Liberty Films Inc,¡Qué bello es vivir! ,53788.0,8.2,9
RKO Radio Pictures,¡Qué bello es vivir! ,53788.0,8.2,9
Universal Pictures,Perversidad ,14087.0,8.2,9
Walter Wanger Productions,Perversidad ,14087.0,8.2,9
Universal Pictures,Perversidad ,14087.0,8.2,9
Romaine Film,Ser o no ser ,35358.0,8.5,9
Alexander Korda,Ser o no ser ,35358.0,8.5,9
United Artists,El gran dictador ,85648.0,8.6,9
Selznick International Pictures,Rebeca ,37621.0,8.2,9
United Artists,Tiempos modernos ,63134.0,8.6,9
Columbia Pictures,Sucedió una noche ,17158.0,7.9,9
Decla Film,El gabinete del doctor Caligari ,20389.0,8.1,9
Elevation Pictures,Infinity Pool ,1056.0,6.1,8
Film Forge Productions,Infinity Pool ,1056.0,6.1,8
4 Film,Infinity Pool ,1056.0,6.1,8
Hero Squared,Infinity Pool ,1056.0,6.1,8
Celluloid Dreams,Infinity Pool ,1056.0,6.1,8
Croatian Film Association,Infinity Pool ,1056.0,6.1,8
First Look,Infinity Pool ,1056.0,6.1,8
Téléfilm Canada,Infinity Pool ,1056.0,6.1,8
Eurimages,Infinity Pool ,1056.0,6.1,8
Neon,Infinity Pool ,1056.0,6.1,8
Amblin Partners,Los Fabelman ,8194.0,7.2,8
Universal Pictures,Los Fabelman ,8194.0,7.2,8
Amblin Entertainment,Los Fabelman ,8194.0,7.2,8
Universal Pictures,Los Fabelman ,8194.0,7.2,8
Arcadia Motion Pictures,As bestas ,26450.0,7.7,8
Caballo Films,As bestas ,26450.0,7.7,8
Cronos Entertainment AIE,As bestas ,26450.0,7.7,8
Le Pacte,As bestas ,26450.0,7.7,8
RTVE,As bestas ,26450.0,7.7,8
Movistar Plus+,As bestas ,26450.0,7.7,8
Canal+,As bestas ,26450.0,7.7,8
Ciné+,As bestas ,26450.0,7.7,8
A24,Todo a la vez en todas partes ,23572.0,6.6,8
AGBO,Todo a la vez en todas partes ,23572.0,6.6,8
Hotdog Hands,Todo a la vez en todas partes ,23572.0,6.6,8
Ley Line Entertainment,Todo a la vez en todas partes ,23572.0,6.6,8
Year of The Rat,Todo a la vez en todas partes ,23572.0,6.6,8
IAC Films,Todo a la vez en todas partes ,23572.0,6.6,8
A24,Todo a la vez en todas partes ,23572.0,6.6,8
Double Dare You,El gabinete de curiosidades: La autopsia (TV),3241.0,6.5,8
Exile Entertainment,El gabinete de curiosidades: La autopsia (TV),3241.0,6.5,8
Guillermo del Toro,El gabinete de curiosidades: La autopsia (TV),3241.0,6.5,8
Netflix,El gabinete de curiosidades: La autopsia (TV),3241.0,6.5,8
Morena Films,Cerdita ,7756.0,5.8,8
La Banque Postale Image,Cerdita ,7756.0,5.8,8
Indéfilms,Cerdita ,7756.0,5.8,8
Regency Television,El hombre del norte ,18778.0,6.5,8
Focus Features,El hombre del norte ,18778.0,6.5,8
Focus Features,El hombre del norte ,18778.0,6.5,8
MGM Television,Miércoles (Serie de TV),10939.0,6.7,8
Millar Gough Ink,Miércoles (Serie de TV),10939.0,6.7,8
Glickmania,Miércoles (Serie de TV),10939.0,6.7,8
Tim Burton Productions,Miércoles (Serie de TV),10939.0,6.7,8
Toluca Pictures,Miércoles (Serie de TV),10939.0,6.7,8
Netflix,Miércoles (Serie de TV),10939.0,6.7,8
Netflix,Miércoles (Serie de TV),10939.0,6.7,8
Diaphana Distribution,La cumbre de los dioses ,2824.0,7.2,8
France 3 Cinéma,La cumbre de los dioses ,2824.0,7.2,8
Julianne Films,La cumbre de los dioses ,2824.0,7.2,8
Folivari,La cumbre de los dioses ,2824.0,7.2,8
Mélusine Productions,La cumbre de los dioses ,2824.0,7.2,8
Netflix,La cumbre de los dioses ,2824.0,7.2,8
Kowalski Films,Maixabel ,12495.0,7.2,8
Feel good Media,Maixabel ,12495.0,7.2,8
ETB,Maixabel ,12495.0,7.2,8
Movistar Plus+,Maixabel ,12495.0,7.2,8
RTVE,Maixabel ,12495.0,7.2,8
Real Film Berlin,Unorthodox (Miniserie de TV),18628.0,7.2,8
Studio Airlift,Unorthodox (Miniserie de TV),18628.0,7.2,8
Netflix,Unorthodox (Miniserie de TV),18628.0,7.2,8
Trademark Films,El padre ,15749.0,7.7,8
Embankment Films,El padre ,15749.0,7.7,8
Film4 Productions,El padre ,15749.0,7.7,8
F Comme Film,El padre ,15749.0,7.7,8
AG Studios NYC,El padre ,15749.0,7.7,8
Lionsgate,El padre ,15749.0,7.7,8
Amazon Studios,El desafío: ETA (Miniserie de TV),3238.0,7.8,8
Cuerdos de Atar,El desafío: ETA (Miniserie de TV),3238.0,7.8,8
Amazon Prime Video,El desafío: ETA (Miniserie de TV),3238.0,7.8,8
Apache Films,Sesión salvaje ,1422.0,6.9,8
Morbido Films,Sesión salvaje ,1422.0,6.9,8
Barunson,Parásitos ,60535.0,8.0,8
CJ Entertainment,Parásitos ,60535.0,8.0,8
TMS Comics,Parásitos ,60535.0,8.0,8
TMS Entertainment,Parásitos ,60535.0,8.0,8
CJ E&M Film Financing & Investment Entertainment & Comics,Parásitos ,60535.0,8.0,8
B-Reel Films,Midsommar ,26650.0,6.3,8
Parts and Labor,Midsommar ,26650.0,6.3,8
A24,Midsommar ,26650.0,6.3,8
El Deseo,Dolor y gloria ,31306.0,6.9,8
Sony Pictures Entertainment (SPE),Dolor y gloria ,31306.0,6.9,8
Netflix,Black Mirror: Hang the DJ (TV),18876.0,7.5,8
House of Tomorrow,Black Mirror: Hang the DJ (TV),18876.0,7.5,8
Netflix,Black Mirror: Hang the DJ (TV),18876.0,7.5,8
Scott Free Productions,Taboo (Serie de TV),9686.0,7.0,8
Hardy,Taboo (Serie de TV),9686.0,7.0,8
Son & Baker,Taboo (Serie de TV),9686.0,7.0,8
BBC,Taboo (Serie de TV),9686.0,7.0,8
Starburns Industries,Rick y Morty: Cadena Rickpetua (TV),5244.0,8.2,8
Adult Swim,Rick y Morty: Cadena Rickpetua (TV),5244.0,8.2,8
Channel 4,Philip K. Dick's Electric Dreams: Real Life (TV),1617.0,6.2,8
Anonymous Content,Philip K. Dick's Electric Dreams: Real Life (TV),1617.0,6.2,8
Electric Shepherd Productions,Philip K. Dick's Electric Dreams: Real Life (TV),1617.0,6.2,8
Left Bank Pictures,Philip K. Dick's Electric Dreams: Real Life (TV),1617.0,6.2,8
Moon Shot Entertainment,Philip K. Dick's Electric Dreams: Real Life (TV),1617.0,6.2,8
Rooney McP Productions,Philip K. Dick's Electric Dreams: Real Life (TV),1617.0,6.2,8
Sony Pictures Television,Philip K. Dick's Electric Dreams: Real Life (TV),1617.0,6.2,8
Tall Ship Productions,Philip K. Dick's Electric Dreams: Real Life (TV),1617.0,6.2,8
Channel 4,Philip K. Dick's Electric Dreams: Real Life (TV),1617.0,6.2,8
HBO,Big Little Lies (Serie de TV),22612.0,7.7,8
Blossom Films,Big Little Lies (Serie de TV),22612.0,7.7,8
42,La autopsia de Jane Doe ,15611.0,6.2,8
Impostor Pictures,La autopsia de Jane Doe ,15611.0,6.2,8
CoMix Wave Films,Your Name. ,26587.0,7.8,8
Katsuhiro Takei,Your Name. ,26587.0,7.8,8
Kôichirô Itô,Your Name. ,26587.0,7.8,8
YouTube,Pantomima Full (Serie de TV),755.0,7.1,8
Twitter,Pantomima Full (Serie de TV),755.0,7.1,8
Netflix,Black Mirror: Caída en picado (TV),25050.0,7.4,8
House of Tomorrow,Black Mirror: Caída en picado (TV),25050.0,7.4,8
Netflix,Black Mirror: Caída en picado (TV),25050.0,7.4,8
HBO,The Night Of (Miniserie de TV),19002.0,7.9,8
BBC,The Night Of (Miniserie de TV),19002.0,7.9,8
Film Rites,The Night Of (Miniserie de TV),19002.0,7.9,8
Film4 Productions,Langosta ,29190.0,6.6,8
Irish Film Board,Langosta ,29190.0,6.6,8
Eurimages,Langosta ,29190.0,6.6,8
Netherlands Film Fund,Langosta ,29190.0,6.6,8
Greek Film Center,Langosta ,29190.0,6.6,8
British Film Institute,Langosta ,29190.0,6.6,8
Element Pictures,Langosta ,29190.0,6.6,8
Scarlet Films,Langosta ,29190.0,6.6,8
Faliro House,Langosta ,29190.0,6.6,8
Haut et Court,Langosta ,29190.0,6.6,8
Lemming Film,Langosta ,29190.0,6.6,8
Protagonist,Langosta ,29190.0,6.6,8
A24,La bruja ,28755.0,6.2,8
Code Red Productions,La bruja ,28755.0,6.2,8
Pulse Films,La bruja ,28755.0,6.2,8
Scythia Films,La bruja ,28755.0,6.2,8
Rooks Nest,La bruja ,28755.0,6.2,8
Maiden Voyage Pictures,La bruja ,28755.0,6.2,8
Mott Street Pictures,La bruja ,28755.0,6.2,8
Blumhouse Productions,La visita ,27705.0,5.9,8
Blinding Edge Pictures,La visita ,27705.0,5.9,8
Gamechanger Films,La invitación ,19708.0,6.3,8
The Invitation,La invitación ,19708.0,6.3,8
Lege Artis,La invitación ,19708.0,6.3,8
Legendary Pictures,Así en la Tierra como en el Infierno ,5984.0,5.2,8
Universal Pictures,Así en la Tierra como en el Infierno ,5984.0,5.2,8
Metafilms,Mommy ,16674.0,7.4,8
Big Farm,La canción del mar ,9943.0,7.6,8
Cartoon Saloon,La canción del mar ,9943.0,7.6,8
